Name,BOFA ML EMU CORP. (E) - RED. YIELD,BOFA ML US CORP BBB-A ($) - RED. YIELD,ITRAXX CROSSOVER 5YR (EOD) SR15 - CDS PREM. BID,BOFA ML EUROPEAN CUR HY (E) - RED. YIELD,BOFA ML US HY MASTER II ($) - RED. YIELD,JPM EMBI+ COMPOSITE - BLENDED YIELD MAT
12/31/1997,5.15,6.74,,9.208,9.06,9.894
1/7/1998,5.15,6.55,,10.907,8.97,9.985
1/14/1998,5.15,6.47,,10.819,8.91,10.097
1/21/1998,5.15,6.54,,10.891,8.9,10.267
1/28/1998,5.15,6.68,,10.773,8.94,10.306
2/4/1998,5.15,6.6,,10.455,8.88,9.872
2/11/1998,5.15,6.62,,10.408,8.88,9.664
2/18/1998,5.15,6.57,,10.369,8.86,9.717
2/25/1998,5.15,6.7,,10.39,8.92,9.761
3/4/1998,5.15,6.79,,10.413,8.94,9.755
3/11/1998,5.15,6.68,,10.279,8.91,9.606
3/18/1998,5.15,6.65,,10.187,8.85,9.408
3/25/1998,5.15,6.7,,10.221,8.84,9.453
4/1/1998,4.84,6.65,,10.076,8.84,9.46
4/8/1998,4.8,6.62,,9.965,8.81,9.544
4/15/1998,4.82,6.64,,9.946,8.82,9.455
4/22/1998,4.84,6.7,,10.004,8.84,9.562
4/29/1998,4.92,6.82,,10.097,8.94,9.79
5/6/1998,4.92,6.67,,10.04,8.96,9.644
5/13/1998,4.89,6.69,,10.218,9,9.773
5/20/1998,4.86,6.65,,10.298,9.02,9.863
5/27/1998,4.8,6.62,,10.268,9.01,10.112
6/3/1998,4.79,6.62,,9.708,9.12,9.88
6/10/1998,4.79,6.57,,9.751,9.12,10.018
6/17/1998,4.77,6.61,,9.863,9.19,10.07
6/24/1998,4.73,6.55,,9.946,9.18,10.239
7/1/1998,4.72,6.55,,9.892,9.19,10.466
7/8/1998,4.67,6.55,,9.916,9.17,10.621
7/15/1998,4.66,6.59,,9.899,9.17,10.249
7/22/1998,4.66,6.58,,9.867,9.16,10.189
7/29/1998,4.64,6.64,,9.829,9.2,10.706
8/5/1998,4.61,6.58,,9.787,9.28,10.877
8/12/1998,4.52,6.54,,9.968,9.44,12.501
8/19/1998,4.5,6.57,,10.145,9.56,12.873
8/26/1998,4.4,6.43,,10.421,9.81,15.216
9/2/1998,4.4,6.71,,11.761,10.47,15.483
9/9/1998,4.29,6.56,,11.95,10.44,16.085
9/16/1998,4.24,6.5,,12.096,10.62,15.235
9/23/1998,4.25,6.38,,12.318,10.51,14.182
9/30/1998,4.17,6.23,,12.09,10.44,14.564
10/7/1998,4.15,6.21,,12.691,10.67,14.681
10/14/1998,4.32,6.43,,12.879,11.2,14.363
10/21/1998,4.27,6.4,,13.004,11.16,13.644
10/28/1998,4.26,6.36,,12.538,11.04,14.074
11/4/1998,4.28,6.72,,12.161,10.98,13.52
11/11/1998,4.31,6.67,,11.849,10.77,13.505
11/18/1998,4.22,6.66,,11.205,10.54,13.396
