Tree	Portfolio	Asset Category	Investment Category	Investment Type	Investment Object Identifier	Investment Object Name	Currency	Nominal/Quantity*	Nominal/Quantity	Value	Eco Exp	Mat Date	Rating Standard & Poors	Rating Moodys	Clean Price*	Clean Price	Underlying	Underlying Quantity*	Underlying Quantity	Option Feature
5000600	5000600									85'630'527	97'775'035									
5000600, Special Agreement	5000600									85'630'527	97'775'035									
5000600, Special Agreement, 0.589 INTESA 18 FRN	5000600	Bonds	Bonds	Floater	XS0243399556	0.589 INTESA 18 FRN	EUR	EUR	1'000'000.0000	907'850	907'850	20.02.2018	A+	A3	%	90.7850		EUR	1'000'000.0000	
5000600, Special Agreement, 2.875 F.VAN 12/16 EMTN	5000600	Bonds	Bonds	Ordinary Bonds	XS0842560640	2.875 F.VAN 12/16 EMTN	EUR	EUR	1'000'000.0000	999'445	998'300	17.10.2016	A-		%	99.8300		EUR	1'000'000.0000	
5000600, Special Agreement, 3.25 PETROBRAS 12/19	5000600	Bonds	Bonds	Ordinary Bonds	XS0835886598	3.25 PETROBRAS 12/19	EUR	EUR	400'000.0000	412'804	411'700	01.04.2019	BBB	A3	%	102.9250		EUR	400'000.0000	
5000600, Special Agreement, 4 CELESIO FIN 12/16	5000600	Bonds	Bonds	Ordinary Bonds	XS0843328526	4 CELESIO FIN 12/16	EUR	EUR	341'000.0000	356'186	355'663	18.10.2016			%	104.3000		EUR	341'000.0000	
5000600, Special Agreement, 4.125 INTESA 16EMTN	5000600	Bonds	Bonds	Corporate Bonds	XS0829329506	4.125 INTESA 16EMTN	EUR	EUR	400'000.0000	403'064	401'120	19.09.2016	BBB+	Baa2	%	100.2800		EUR	400'000.0000	
5000600, Special Agreement, 4.125 LAGARDERE 12/17	5000600	Bonds	Bonds	Ordinary Bonds	FR0011348531	4.125 LAGARDERE 12/17	EUR	EUR	400'000.0000	408'830	408'740	31.10.2017			%	102.1850		EUR	400'000.0000	
5000600, Special Agreement, 4.125 MERCEDES-BENZ 15	5000600	Bonds	Bonds	Corporate Bonds	XS0822605522	4.125 MERCEDES-BENZ 15	AUD	AUD	1'000'000.0000	813'945	808'675	04.09.2015	A-	A3	%	100.5800		AUD	1'000'000.0000	
5000600, Special Agreement, 4.5 DAVIDE CAMPA 12/19	5000600	Bonds	Bonds	Corporate Bonds	XS0848458179	4.5 DAVIDE CAMPA 12/19	EUR	EUR	130'000.0000	134'721	134'609	25.10.2019			%	103.5450		EUR	130'000.0000	
5000600, Special Agreement, 5.5 ING BK 15 12/15	5000600	Bonds	Bonds	Corporate Bonds	AU3CB0198463	5.5 ING BK 15 12/15	AUD	AUD	1'300'000.0000	1'083'773	1'074'638	03.09.2015	A+	A2	%	102.8150		AUD	1'300'000.0000	
5000600, Special Agreement, 5.625 CAM 12/17 CV	5000600	Convertibles	Convertibles	Convertible Bonds	XS0844807387	5.625 CAM 12/17 CV	EUR	EUR	400'000.0000	421'000	421'000	26.10.2017			%	105.2500		EUR	400'000.0000	
5000600, Special Agreement, 5000600 CC AUD	5000600	Liquidity	Accounts	Cash Accounts	LU38 0705 0006 0000 0AUD	5000600 CC AUD	AUD	AUD	152'946.6500	122'971	122'971				AUD	1.0000		AUD	152'946.6500	
5000600, Special Agreement, 5000600 CC CHF	5000600	Liquidity	Accounts	Cash Accounts	LU66 0705 0006 0000 0CHF	5000600 CC CHF	CHF	CHF	196'652.3500	162'976	152'754				CHF	1.0000		CHF	196'652.3500	
5000600, Special Agreement, 5000600 CC EUR	5000600	Liquidity	Accounts	Cash Accounts	LU46 0705 0006 0000 0EUR	5000600 CC EUR	EUR	EUR	46'206'248.5700	46'206'249	46'206'252				EUR	1.0000		EUR	46'206'248.5700	
5000600, Special Agreement, 5000600 CC NOK	5000600	Liquidity	Accounts	Cash Accounts		5000600 CC NOK	NOK	NOK	408'378.1200	55'547	55'547				NOK	1.0000		NOK	408'378.1200	
5000600, Special Agreement, 5000600 CC RUB	5000600	Liquidity	Accounts	Cash Accounts	5000600000RUB	5000600 CC RUB	RUB	RUB	0.0000	0	0				RUB	1.0000		RUB	0.0000	
5000600, Special Agreement, 5000600 CC USD	5000600	Liquidity	Accounts	Cash Accounts	LU93 0705 0006 0000 0USD	5000600 CC USD	USD	USD	545'919.3100	421'983	421'983				USD	1.0000		USD	545'919.3100	
5000600, Special Agreement, 5000600.01 MC CHF	5000600	Liquidity	Accounts	Margin Accounts	5000600001CHF	5000600.01 MC CHF	CHF	CHF	0.0000	0	0				CHF	1.0000		CHF	0.0000	
5000600, Special Agreement, 5000600.01 MC EUR	5000600	Liquidity	Accounts	Margin Accounts	LU93 0705 0006 0000 1EUR	5000600.01 MC EUR	EUR	EUR	1'321'423.4600	1'321'423	1'321'423				EUR	1.0000		EUR	1'321'423.4600	
5000600, Special Agreement, 5000600.01 MC USD	5000600	Liquidity	Accounts	Margin Accounts	LU43 0705 0006 0000 1USD	5000600.01 MC USD	USD	USD	0.0000	0	0				USD	1.0000		USD	0.0000	
