"ID","ID_strumento","Azione","NumeroValore","Moneta","ISIN"
1706,45,"ISHARES INC MSCI South Korea","1087270US","USD","US4642867729"
766,1,"Philips","1106818EU","EUR","NL0000009538"
1052,1,"Zurich Insurance Group","1107539CH","CHF","CH0011075394"
1482,45,"iShares DAX (DE)","1174954EU","EUR","DE0005933931"
709,1,"Novartis Na","1200526CH","CHF","CH0012005267"
824,1,"Roche Holding Gs","1203204CH","CHF","CH0012032048"
368,1,"Credit Suisse Group Na","1213853CH","CHF","CH0012138530"
546,1,"Holcim N","1221405CH","CHF","CH0012214059"
138,1,"ABB LTD","1222171CH","CHF","CH0012221716"
1010,1,"Vontobel Common Stock","1233554CH","CHF","CH0012335540"
239,1,"BALOISE HDL N","1241051CH","CHF","CH0012410517"
1348,1,"Nomura Topix ETF","1264134JP","JPY","JP3027630007"
974,1,"UBS AG Na","2489948CH","CHF","CH0024899483"
985,1,"Unilever NV Common Stock","2560588EU","EUR","NL0000009355"
1076,1,"Logitech N","2575132CH","CHF","CH0025751329"
189,1,"ALLIANZ AG","322646EU","EUR","DE0008404005"
697,1,"Nestle Na","3886335CH","CHF","CH0038863350"
445,1,"E.ON","4334819EU","EUR","DE0007614406"
902,1,"SPY","45088US","USD","US78462F1030"
706,1,"Nokia OYJ","472672EU","EUR","FI0009000681"
384,1,"Groupe Danone Common Stock","487663EU","EUR","FR0000120644"
953,1,"TotalFinaElf Common Stock","524773EU","EUR","FR0000120271"
1264,45,"CQ XMTCH ON SMI","889976CH","CHF","CH0008899764"
500,1,"General Electric","933071US","USD","US3696041033"
2161,14,"Xmtch on (CH) SMIM","CH0019852802","CHF","CH0019852802"
1525,1,"Deutsche Post AG","DE0005552004","EUR","DE0005552004"
659,1,"Metro AG Common Stock","DE0007257503","EUR","DE0007257503"
2430,51,"Gold Bullion Securities","GB00B00FHZ82","USD","GB00B00FHZ82"
2378,45,"Ishares MSCI Singapore","US4642866739","USD","US4642866739"
2275,15,"ISHARES FTSE XINHUA","US4642871846","USD","US4642871846"
2272,15,"ISHARES MSCI Indon","US46429B3096","USD","US46429B3096"
2273,15,"SPDR KBW ETF","US78464A7972","USD","US78464A7972"
2274,15,"Sector SPDR Ener. Sel.","US81369Y5069","USD","US81369Y5069"
