"","NumeroValore","Date","Price"
"1","LU0810451608","2006-03-16 00:00:00.000",100
"2","LU0810451608","2006-03-17 00:00:00.000",100
"3","LU0810451608","2006-03-20 00:00:00.000",100
"4","LU0810451608","2006-03-21 00:00:00.000",100
"5","LU0810451608","2006-03-22 00:00:00.000",100
"6","LU0810451608","2006-03-23 00:00:00.000",100
"7","LU0810451608","2006-03-24 00:00:00.000",100
"8","LU0810451608","2006-03-27 00:00:00.000",100
"9","LU0810451608","2006-03-28 00:00:00.000",100
"10","LU0810451608","2006-03-29 00:00:00.000",100
"11","LU0810451608","2006-03-30 00:00:00.000",100
"12","LU0810451608","2006-03-31 00:00:00.000",100
"13","LU0810451608","2006-04-03 00:00:00.000",100
"14","LU0810451608","2006-04-04 00:00:00.000",100
"15","LU0810451608","2006-04-05 00:00:00.000",100
"16","LU0810451608","2006-04-06 00:00:00.000",100
"17","LU0810451608","2006-04-07 00:00:00.000",100
"18","LU0810451608","2006-04-10 00:00:00.000",100
"19","LU0810451608","2006-04-11 00:00:00.000",100
"20","LU0810451608","2006-04-12 00:00:00.000",100
"21","LU0810451608","2006-04-17 00:00:00.000",100
"22","LU0810451608","2006-04-18 00:00:00.000",100
"23","LU0810451608","2006-04-19 00:00:00.000",100
"24","LU0810451608","2006-04-20 00:00:00.000",100
"25","LU0810451608","2006-04-21 00:00:00.000",100.15
"26","LU0810451608","2006-04-24 00:00:00.000",100.18
"27","LU0810451608","2006-04-25 00:00:00.000",100.16
"28","LU0810451608","2006-04-26 00:00:00.000",100.18
"29","LU0810451608","2006-04-27 00:00:00.000",100.14
"30","LU0810451608","2006-05-01 00:00:00.000",100.13
"31","LU0810451608","2006-05-02 00:00:00.000",100.19
"32","LU0810451608","2006-05-03 00:00:00.000",100.17
"33","LU0810451608","2006-05-04 00:00:00.000",100.19
"34","LU0810451608","2006-05-05 00:00:00.000",100.21
"35","LU0810451608","2006-05-08 00:00:00.000",100.15
"36","LU0810451608","2006-05-09 00:00:00.000",100.22
"37","LU0810451608","2006-05-10 00:00:00.000",100.22
"38","LU0810451608","2006-05-11 00:00:00.000",100.22
"39","LU0810451608","2006-05-12 00:00:00.000",100.25
"40","LU0810451608","2006-05-15 00:00:00.000",100.26
"41","LU0810451608","2006-05-16 00:00:00.000",100.21
"42","LU0810451608","2006-05-17 00:00:00.000",100.26
"43","LU0810451608","2006-05-18 00:00:00.000",100.26
"44","LU0810451608","2006-05-19 00:00:00.000",100.24
"45","LU0810451608","2006-05-22 00:00:00.000",100.27
"46","LU0810451608","2006-05-23 00:00:00.000",100.32
"47","LU0810451608","2006-05-25 00:00:00.000",100.32
"48","LU0810451608","2006-05-26 00:00:00.000",100.31
"49","LU0810451608","2006-05-29 00:00:00.000",100.37
"50","LU0810451608","2006-05-30 00:00:00.000",100.36
"51","LU0810451608","2006-05-31 00:00:00.000",100.31
"52","LU0810451608","2006-06-01 00:00:00.000",100.29
"53","LU0810451608","2006-06-05 00:00:00.000",100.26
"54","LU0810451608","2006-06-06 00:00:00.000",100.32
"55","LU0810451608","2006-06-07 00:00:00.000",100.34
"56","LU0810451608","2006-06-08 00:00:00.000",100.29
"57","LU0810451608","2006-06-09 00:00:00.000",100.26
"58","LU0810451608","2006-06-12 00:00:00.000",100.33
"59","LU0810451608","2006-06-13 00:00:00.000",100.37
"60","LU0810451608","2006-06-15 00:00:00.000",100.37
"61","LU0810451608","2006-06-19 00:00:00.000",100.41
"62","LU0810451608","2006-06-20 00:00:00.000",100.39
"63","LU0810451608","2006-06-21 00:00:00.000",100.42
"64","LU0810451608","2006-06-22 00:00:00.000",100.4
"65","LU0810451608","2006-06-23 00:00:00.000",100.4
"66","LU0810451608","2006-06-26 00:00:00.000",100.4
"67","LU0810451608","2006-06-27 00:00:00.000",100.42
"68","LU0810451608","2006-06-29 00:00:00.000",100.41
"69","LU0810451608","2006-06-30 00:00:00.000",100.36
"70","LU0810451608","2006-07-03 00:00:00.000",100.41
"71","LU0810451608","2006-07-04 00:00:00.000",100.45
"72","LU0810451608","2006-07-05 00:00:00.000",100.46
"73","LU0810451608","2006-07-06 00:00:00.000",100.46
"74","LU0810451608","2006-07-10 00:00:00.000",100.42
"75","LU0810451608","2006-07-11 00:00:00.000",100.51
"76","LU0810451608","2006-07-12 00:00:00.000",100.5
"77","LU0810451608","2006-07-13 00:00:00.000",100.49
"78","LU0810451608","2006-07-14 00:00:00.000",100.53
"79","LU0810451608","2006-07-17 00:00:00.000",100.51
"80","LU0810451608","2006-07-18 00:00:00.000",100.55
"81","LU0810451608","2006-07-19 00:00:00.000",100.56
"82","LU0810451608","2006-07-20 00:00:00.000",100.48
"83","LU0810451608","2006-07-21 00:00:00.000",100.57
"84","LU0810451608","2006-07-24 00:00:00.000",100.57
"85","LU0810451608","2006-07-25 00:00:00.000",100.6
"86","LU0810451608","2006-07-26 00:00:00.000",100.6
"87","LU0810451608","2006-07-27 00:00:00.000",100.62
"88","LU0810451608","2006-07-28 00:00:00.000",100.62
"89","LU0810451608","2006-08-01 00:00:00.000",100.62
"90","LU0810451608","2006-08-02 00:00:00.000",100.68
"91","LU0810451608","2006-08-07 00:00:00.000",100.66
"92","LU0810451608","2006-08-08 00:00:00.000",100.7
"93","LU0810451608","2006-08-09 00:00:00.000",100.69
"94","LU0810451608","2006-08-10 00:00:00.000",100.68
"95","LU0810451608","2006-08-11 00:00:00.000",100.69
"96","LU0810451608","2006-08-15 00:00:00.000",100.69
"97","LU0810451608","2006-08-16 00:00:00.000",100.78
"98","LU0810451608","2006-08-17 00:00:00.000",100.73
"99","LU0810451608","2006-08-18 00:00:00.000",100.75
"100","LU0810451608","2006-08-21 00:00:00.000",100.73
"101","LU0810451608","2006-08-22 00:00:00.000",100.76
