"","Ticker","Close","TRADE_DATE"
"1","2742261CH",100,"2006-11-16 00:00:00.000"
"2","2742261CH",100,"2006-11-17 00:00:00.000"
"3","2742261CH",100,"2006-11-20 00:00:00.000"
"4","2742261CH",100,"2006-11-21 00:00:00.000"
"5","2742261CH",100,"2006-11-22 00:00:00.000"
"6","2742261CH",100,"2006-11-23 00:00:00.000"
"7","2742261CH",100,"2006-11-24 00:00:00.000"
"8","2742261CH",99.5,"2006-11-27 00:00:00.000"
"9","2742261CH",99.15,"2006-11-28 00:00:00.000"
"10","2742261CH",99.15,"2006-11-29 00:00:00.000"
"11","2742261CH",99.21,"2006-11-30 00:00:00.000"
"12","2742261CH",98.96,"2006-12-01 00:00:00.000"
"13","2742261CH",98.74,"2006-12-04 00:00:00.000"
"14","2742261CH",98.79,"2006-12-05 00:00:00.000"
"15","2742261CH",98.65,"2006-12-06 00:00:00.000"
"16","2742261CH",98.78,"2006-12-08 00:00:00.000"
"17","2742261CH",98.64,"2006-12-11 00:00:00.000"
"18","2742261CH",98.76,"2006-12-12 00:00:00.000"
"19","2742261CH",98.88,"2006-12-13 00:00:00.000"
"20","2742261CH",98.95,"2006-12-14 00:00:00.000"
"21","2742261CH",99.46,"2006-12-15 00:00:00.000"
"22","2742261CH",99.51,"2006-12-18 00:00:00.000"
"23","2742261CH",99.65,"2006-12-19 00:00:00.000"
"24","2742261CH",99.39,"2006-12-20 00:00:00.000"
"25","2742261CH",99.4,"2006-12-21 00:00:00.000"
"26","2742261CH",99.43,"2006-12-26 00:00:00.000"
"27","2742261CH",99.36,"2006-12-27 00:00:00.000"
"28","2742261CH",99.71,"2006-12-28 00:00:00.000"
"29","2742261CH",99.57,"2007-01-02 00:00:00.000"
"30","2742261CH",100.03,"2007-01-03 00:00:00.000"
"31","2742261CH",100.04,"2007-01-04 00:00:00.000"
"32","2742261CH",99.85,"2007-01-05 00:00:00.000"
"33","2742261CH",100.03,"2007-01-08 00:00:00.000"
"34","2742261CH",99.73,"2007-01-09 00:00:00.000"
"35","2742261CH",99.71,"2007-01-10 00:00:00.000"
"36","2742261CH",100.15,"2007-01-11 00:00:00.000"
"37","2742261CH",100.42,"2007-01-12 00:00:00.000"
"38","2742261CH",100.65,"2007-01-15 00:00:00.000"
"39","2742261CH",100.6,"2007-01-16 00:00:00.000"
"40","2742261CH",100.65,"2007-01-17 00:00:00.000"
"41","2742261CH",100.64,"2007-01-18 00:00:00.000"
"42","2742261CH",100.64,"2007-01-19 00:00:00.000"
"43","2742261CH",100.62,"2007-01-22 00:00:00.000"
"44","2742261CH",100.62,"2007-01-23 00:00:00.000"
"45","2742261CH",100.61,"2007-01-24 00:00:00.000"
"46","2742261CH",101.01,"2007-01-25 00:00:00.000"
"47","2742261CH",100.76,"2007-01-26 00:00:00.000"
"48","2742261CH",100.49,"2007-01-29 00:00:00.000"
"49","2742261CH",100.7,"2007-01-30 00:00:00.000"
"50","2742261CH",100.87,"2007-01-31 00:00:00.000"
"51","2742261CH",100.89,"2007-02-01 00:00:00.000"
"52","2742261CH",101.26,"2007-02-02 00:00:00.000"
"53","2742261CH",101.43,"2007-02-05 00:00:00.000"
"54","2742261CH",101.4,"2007-02-06 00:00:00.000"
"55","2742261CH",101.5,"2007-02-07 00:00:00.000"
"56","2742261CH",101.47,"2007-02-08 00:00:00.000"
"57","2742261CH",101.26,"2007-02-09 00:00:00.000"
"58","2742261CH",101.26,"2007-02-12 00:00:00.000"
"59","2742261CH",101.26,"2007-02-13 00:00:00.000"
"60","2742261CH",101.32,"2007-02-14 00:00:00.000"
"61","2742261CH",101.32,"2007-02-15 00:00:00.000"
"62","2742261CH",101.32,"2007-02-16 00:00:00.000"
"63","2742261CH",101.69,"2007-02-19 00:00:00.000"
"64","2742261CH",101.69,"2007-02-20 00:00:00.000"
"65","2742261CH",101.69,"2007-02-21 00:00:00.000"
"66","2742261CH",101.69,"2007-02-23 00:00:00.000"
"67","2742261CH",101.69,"2007-02-26 00:00:00.000"
"68","2742261CH",101.39,"2007-02-27 00:00:00.000"
"69","2742261CH",101.39,"2007-02-28 00:00:00.000"
"70","2742261CH",99.6,"2007-03-01 00:00:00.000"
"71","2742261CH",99.6,"2007-03-02 00:00:00.000"
"72","2742261CH",99.43,"2007-03-05 00:00:00.000"
"73","2742261CH",99.43,"2007-03-06 00:00:00.000"
"74","2742261CH",99.2,"2007-03-07 00:00:00.000"
"75","2742261CH",99.2,"2007-03-08 00:00:00.000"
"76","2742261CH",99.86,"2007-03-09 00:00:00.000"
"77","2742261CH",99.84,"2007-03-12 00:00:00.000"
"78","2742261CH",99.84,"2007-03-13 00:00:00.000"
"79","2742261CH",99.46,"2007-03-14 00:00:00.000"
"80","2742261CH",98.85,"2007-03-15 00:00:00.000"
"81","2742261CH",99.13,"2007-03-19 00:00:00.000"
"82","2742261CH",99.13,"2007-03-20 00:00:00.000"
"83","2742261CH",99.13,"2007-03-21 00:00:00.000"
"84","2742261CH",99.82,"2007-03-22 00:00:00.000"
"85","2742261CH",99.82,"2007-03-23 00:00:00.000"
"86","2742261CH",100.09,"2007-03-26 00:00:00.000"
"87","2742261CH",99.98,"2007-03-27 00:00:00.000"
"88","2742261CH",99.87,"2007-03-28 00:00:00.000"
"89","2742261CH",99.72,"2007-03-29 00:00:00.000"
"90","2742261CH",99.93,"2007-03-30 00:00:00.000"
"91","2742261CH",99.93,"2007-04-02 00:00:00.000"
"92","2742261CH",99.95,"2007-04-03 00:00:00.000"
"93","2742261CH",100.46,"2007-04-04 00:00:00.000"
"94","2742261CH",100.53,"2007-04-09 00:00:00.000"
"95","2742261CH",100.53,"2007-04-10 00:00:00.000"
"96","2742261CH",100.89,"2007-04-11 00:00:00.000"
"97","2742261CH",100.89,"2007-04-12 00:00:00.000"
"98","2742261CH",100.77,"2007-04-13 00:00:00.000"
"99","2742261CH",100.95,"2007-04-16 00:00:00.000"
"100","2742261CH",101.37,"2007-04-17 00:00:00.000"
"101","2742261CH",101.16,"2007-04-18 00:00:00.000"
"102","2742261CH",101.34,"2007-04-19 00:00:00.000"
"103","2742261CH",101.18,"2007-04-20 00:00:00.000"
"104","2742261CH",101.8,"2007-04-23 00:00:00.000"
"105","2742261CH",101.95,"2007-04-24 00:00:00.000"
"106","2742261CH",101.72,"2007-04-25 00:00:00.000"
"107","2742261CH",102.01,"2007-04-26 00:00:00.000"
"108","2742261CH",102.16,"2007-04-27 00:00:00.000"
"109","2742261CH",101.88,"2007-05-01 00:00:00.000"
"110","2742261CH",101.88,"2007-05-02 00:00:00.000"
"111","2742261CH",102.22,"2007-05-03 00:00:00.000"
"112","2742261CH",102.13,"2007-05-04 00:00:00.000"
"113","2742261CH",102.32,"2007-05-07 00:00:00.000"
"114","2742261CH",102.43,"2007-05-08 00:00:00.000"
"115","2742261CH",102.43,"2007-05-09 00:00:00.000"
"116","2742261CH",102.39,"2007-05-10 00:00:00.000"
"117","2742261CH",102.39,"2007-05-11 00:00:00.000"
"118","2742261CH",102.35,"2007-05-14 00:00:00.000"
"119","2742261CH",102.25,"2007-05-15 00:00:00.000"
"120","2742261CH",102.25,"2007-05-17 00:00:00.000"
"121","2742261CH",102.25,"2007-05-18 00:00:00.000"
"122","2742261CH",102.39,"2007-05-21 00:00:00.000"
"123","2742261CH",102.44,"2007-05-22 00:00:00.000"
"124","2742261CH",102.33,"2007-05-23 00:00:00.000"
"125","2742261CH",102.58,"2007-05-24 00:00:00.000"
"126","2742261CH",102.58,"2007-05-28 00:00:00.000"
"127","2742261CH",102.58,"2007-05-29 00:00:00.000"
"128","2742261CH",102.58,"2007-05-30 00:00:00.000"
"129","2742261CH",102.35,"2007-05-31 00:00:00.000"
"130","2742261CH",102.35,"2007-06-01 00:00:00.000"
"131","2742261CH",103.6,"2007-06-04 00:00:00.000"
"132","2742261CH",103.4,"2007-06-05 00:00:00.000"
"133","2742261CH",103.4,"2007-06-07 00:00:00.000"
"134","2742261CH",103.4,"2007-06-08 00:00:00.000"
"135","2742261CH",101.58,"2007-06-11 00:00:00.000"
"136","2742261CH",101.85,"2007-06-12 00:00:00.000"
"137","2742261CH",101.85,"2007-06-13 00:00:00.000"
"138","2742261CH",101.58,"2007-06-14 00:00:00.000"
"139","2742261CH",101.58,"2007-06-15 00:00:00.000"
"140","2742261CH",103.35,"2007-06-18 00:00:00.000"
"141","2742261CH",103.38,"2007-06-19 00:00:00.000"
"142","2742261CH",103.38,"2007-06-20 00:00:00.000"
"143","2742261CH",103.38,"2007-06-21 00:00:00.000"
"144","2742261CH",103.27,"2007-06-22 00:00:00.000"
"145","2742261CH",103.27,"2007-06-25 00:00:00.000"
"146","2742261CH",102.08,"2007-06-26 00:00:00.000"
"147","2742261CH",102.08,"2007-06-27 00:00:00.000"
"148","2742261CH",102.07,"2007-06-29 00:00:00.000"
"149","2742261CH",101.39,"2007-07-02 00:00:00.000"
"150","2742261CH",102.43,"2007-07-03 00:00:00.000"
"151","2742261CH",102.43,"2007-07-04 00:00:00.000"
"152","2742261CH",103.15,"2007-07-05 00:00:00.000"
"153","2742261CH",102.96,"2007-07-06 00:00:00.000"
"154","2742261CH",102.96,"2007-07-09 00:00:00.000"
"155","2742261CH",102.96,"2007-07-10 00:00:00.000"
"156","2742261CH",103.08,"2007-07-11 00:00:00.000"
"157","2742261CH",103.08,"2007-07-12 00:00:00.000"
"158","2742261CH",103.3,"2007-07-13 00:00:00.000"
"159","2742261CH",103.39,"2007-07-16 00:00:00.000"
"160","2742261CH",103.37,"2007-07-17 00:00:00.000"
"161","2742261CH",103.37,"2007-07-18 00:00:00.000"
"162","2742261CH",103.37,"2007-07-19 00:00:00.000"
"163","2742261CH",103.37,"2007-07-20 00:00:00.000"
"164","2742261CH",103.37,"2007-07-23 00:00:00.000"
"165","2742261CH",103.37,"2007-07-24 00:00:00.000"
"166","2742261CH",103.37,"2007-07-25 00:00:00.000"
"167","2742261CH",101.87,"2007-07-26 00:00:00.000"
"168","2742261CH",101.87,"2007-07-27 00:00:00.000"
"169","2742261CH",101.11,"2007-07-30 00:00:00.000"
"170","2742261CH",101.11,"2007-08-01 00:00:00.000"
"171","2742261CH",100.61,"2007-08-02 00:00:00.000"
"172","2742261CH",100.47,"2007-08-03 00:00:00.000"
"173","2742261CH",99.82,"2007-08-06 00:00:00.000"
"174","2742261CH",99.62,"2007-08-07 00:00:00.000"
"175","2742261CH",99.62,"2007-08-08 00:00:00.000"
"176","2742261CH",100.98,"2007-08-10 00:00:00.000"
"177","2742261CH",99.58,"2007-08-13 00:00:00.000"
"178","2742261CH",99.85,"2007-08-15 00:00:00.000"
"179","2742261CH",99.52,"2007-08-16 00:00:00.000"
"180","2742261CH",99.52,"2007-08-17 00:00:00.000"
"181","2742261CH",98.34,"2007-08-20 00:00:00.000"
"182","2742261CH",98.83,"2007-08-21 00:00:00.000"
"183","2742261CH",98.83,"2007-08-22 00:00:00.000"
"184","2742261CH",98.83,"2007-08-23 00:00:00.000"
"185","2742261CH",99.52,"2007-08-24 00:00:00.000"
"186","2742261CH",100,"2007-08-27 00:00:00.000"
"187","2742261CH",100.08,"2007-08-28 00:00:00.000"
"188","2742261CH",100.08,"2007-08-29 00:00:00.000"
"189","2742261CH",99.76,"2007-08-30 00:00:00.000"
"190","2742261CH",99.76,"2007-08-31 00:00:00.000"
"191","2742261CH",100.36,"2007-09-03 00:00:00.000"
"192","2742261CH",100.54,"2007-09-04 00:00:00.000"
"193","2742261CH",100.54,"2007-09-05 00:00:00.000"
"194","2742261CH",100.36,"2007-09-06 00:00:00.000"
"195","2742261CH",100.36,"2007-09-07 00:00:00.000"
"196","2742261CH",99.92,"2007-09-10 00:00:00.000"
"197","2742261CH",99.92,"2007-09-11 00:00:00.000"
"198","2742261CH",99.92,"2007-09-12 00:00:00.000"
"199","2742261CH",100.04,"2007-09-13 00:00:00.000"
"200","2742261CH",100.04,"2007-09-14 00:00:00.000"
"201","2742261CH",100.48,"2007-09-17 00:00:00.000"
"202","2742261CH",100.15,"2007-09-18 00:00:00.000"
"203","2742261CH",100.15,"2007-09-19 00:00:00.000"
"204","2742261CH",100.15,"2007-09-20 00:00:00.000"
"205","2742261CH",100.15,"2007-09-21 00:00:00.000"
"206","2742261CH",101.02,"2007-09-24 00:00:00.000"
"207","2742261CH",101.07,"2007-09-25 00:00:00.000"
"208","2742261CH",101.07,"2007-09-26 00:00:00.000"
"209","2742261CH",101.32,"2007-09-27 00:00:00.000"
"210","2742261CH",101.32,"2007-09-28 00:00:00.000"
"211","2742261CH",101.72,"2007-10-01 00:00:00.000"
"212","2742261CH",101.95,"2007-10-02 00:00:00.000"
"213","2742261CH",101.95,"2007-10-03 00:00:00.000"
"214","2742261CH",101.95,"2007-10-04 00:00:00.000"
"215","2742261CH",101.95,"2007-10-05 00:00:00.000"
"216","2742261CH",102.26,"2007-10-08 00:00:00.000"
"217","2742261CH",102.32,"2007-10-09 00:00:00.000"
"218","2742261CH",102.32,"2007-10-10 00:00:00.000"
"219","2742261CH",102.58,"2007-10-11 00:00:00.000"
"220","2742261CH",102.58,"2007-10-12 00:00:00.000"
"221","2742261CH",102.66,"2007-10-15 00:00:00.000"
"222","2742261CH",102.46,"2007-10-16 00:00:00.000"
"223","2742261CH",102.46,"2007-10-17 00:00:00.000"
"224","2742261CH",102.18,"2007-10-18 00:00:00.000"
"225","2742261CH",102.18,"2007-10-19 00:00:00.000"
"226","2742261CH",101.21,"2007-10-22 00:00:00.000"
"227","2742261CH",100.63,"2007-10-23 00:00:00.000"
"228","2742261CH",100.63,"2007-10-24 00:00:00.000"
"229","2742261CH",100.63,"2007-10-25 00:00:00.000"
"230","2742261CH",100.63,"2007-10-26 00:00:00.000"
"231","2742261CH",101.45,"2007-10-30 00:00:00.000"
"232","2742261CH",101.45,"2007-11-01 00:00:00.000"
"233","2742261CH",100.91,"2007-11-02 00:00:00.000"
"234","2742261CH",100.91,"2007-11-05 00:00:00.000"
"235","2742261CH",100.91,"2007-11-06 00:00:00.000"
"236","2742261CH",99.7,"2007-11-07 00:00:00.000"
"237","2742261CH",99.32,"2007-11-08 00:00:00.000"
"238","2742261CH",99.32,"2007-11-09 00:00:00.000"
"239","2742261CH",97.4,"2007-11-12 00:00:00.000"
"240","2742261CH",97.25,"2007-11-13 00:00:00.000"
"241","2742261CH",97.25,"2007-11-14 00:00:00.000"
"242","2742261CH",98.4,"2007-11-15 00:00:00.000"
"243","2742261CH",97.93,"2007-11-16 00:00:00.000"
"244","2742261CH",97.2,"2007-11-19 00:00:00.000"
"245","2742261CH",95.68,"2007-11-20 00:00:00.000"
"246","2742261CH",95.68,"2007-11-21 00:00:00.000"
"247","2742261CH",95.68,"2007-11-22 00:00:00.000"
"248","2742261CH",95.68,"2007-11-23 00:00:00.000"
"249","2742261CH",95.84,"2007-11-26 00:00:00.000"
"250","2742261CH",95.71,"2007-11-27 00:00:00.000"
"251","2742261CH",95.71,"2007-11-28 00:00:00.000"
"252","2742261CH",97.04,"2007-11-29 00:00:00.000"
"253","2742261CH",97.04,"2007-11-30 00:00:00.000"
"254","2742261CH",97.99,"2007-12-03 00:00:00.000"
"255","2742261CH",97.99,"2007-12-04 00:00:00.000"
"256","2742261CH",97.99,"2007-12-05 00:00:00.000"
"257","2742261CH",97.99,"2007-12-06 00:00:00.000"
"258","2742261CH",98.44,"2007-12-07 00:00:00.000"
"259","2742261CH",98.91,"2007-12-10 00:00:00.000"
"260","2742261CH",99.38,"2007-12-11 00:00:00.000"
"261","2742261CH",99.38,"2007-12-12 00:00:00.000"
"262","2742261CH",100.11,"2007-12-13 00:00:00.000"
"263","2742261CH",98.79,"2007-12-14 00:00:00.000"
"264","2742261CH",98.92,"2007-12-17 00:00:00.000"
