"","assetClass","benchmark","Moneta","Pesi"
"1","CLASS SHORT TERM","Australia Cash 3M","AUD",0.000275577918595843
"2","CLASS SHORT TERM","Switzerland Cash 3M","CHF",0.175018871106595
"3","CLASS SHORT TERM","Euro Cash 3M","EUR",-0.0400277156607322
"4","CLASS SHORT TERM","Norway Cash 1M","NOK",0.00153689722589025
"5","CLASS SHORT TERM","United States Cash 3M","USD",0.0572111391112389
"6","CLASS CORPORATE INV. GRADE","SWISS BOND AAA-A 1-3Y - TOT RETURN IND","CHF",0.29147647316738
"7","CLASS EQUITY","Swiss Market Index (CHF)","CHF",0.146343360248651
"8","CLASS EQUITY","Standard and Poors 500 Composite ($)","USD",0.0540377026411606
"9","CLASS GOVERNMENT BOND","Swiss Government Bond 1-3 Years (CHF)","CHF",0.0611662777724952
"10","CLASS GOVERNMENT BOND","Swiss Government Bond 5-7 Years (CHF)","CHF",0.0565173852448372
"11","CLASS EQUITY","DAX 30 PERFORMANCE (E)","EUR",0.0329728372865534
"12","CLASS CONVERTIBLE BOND","Convertible: European Monetary Union (E)","EUR",0.0186912184912888
"13","CLASS EQUITY","MSCI Emerging Markets US Dollar ($)","USD",0.0259991830770282
"14","CLASS CORPORATE INV. GRADE","CGBI ESBI BRAZIL - TOT RETURN IND","BRL",0.046129633662024
"15","CLASS GOVERNMENT BOND","FTSE GLOBAL GOVT. NW 1-3Y - TOT RETURN IND","NOK",0.0361714184617797
"16","CLASS CORPORATE INV. GRADE","FTSE GLOBAL GOVT. NW 3-5Y - TOT RETURN IND","NOK",0.00723326441722718
"17","CLASS GOVERNMENT BOND","skip","INR",0.0123074952676107
"18","CLASS SHORT TERM","skip","INR",2.79159402240719e-05
"19","CLASS EQUITY","Dow Jones Euro STOXX 50 (E)","EUR",0.0169110646551323
"20","CLASS SHORT TERM","skip","BRL",-3.49798223173996e-11
