"","assetClass","benchmark","Moneta","Pesi"
"1","CLASS EQUITY","Standard and Poors 500 Composite ($)","USD",0.0129135820749605
"2","CLASS EQUITY","Swiss Market Index (CHF)","CHF",0.497222990677402
"3","CLASS SHORT TERM","Switzerland Cash 3M","CHF",0.1949902659788
"4","CLASS SHORT TERM","Euro Cash 3M","EUR",-0.0920624714896896
"5","CLASS EQUITY","MSCI Emerging Markets US Dollar ($)","USD",0.0671076493752872
"6","CLASS EQUITY","Dow Jones Euro STOXX 50 (E)","EUR",0.129997195845521
"7","CLASS EQUITY","DAX 30 PERFORMANCE (E)","EUR",0.0603918634904721
"8","CLASS EQUITY","Topix (JPY)","JPY",0.0264852166498918
"9","CLASS CONVERTIBLE BOND","Convertible: European Monetary Union (E)","EUR",0.0249481791643617
"10","CLASS EQUITY","OMX NORDIC 40 (SEK)","EUR",0.00703217628205956
"11","CLASS EQUITY","FRANCE CAC 40 (E)","EUR",0.0174720016766035
"12","CLASS SHORT TERM","United Kingdom Cash 3M","GBP",0.000137970160358804
"13","CLASS SHORT TERM","Japan Cash 3M","JPY",0.00290547994841521
"14","CLASS SHORT TERM","United States Cash 3M","USD",0.050457900165557
