"Moneta","CHFPar"
"ATS",0.0972753559152053
"AUD",0.94835577
"BEF",0.0331814922694404
"BRL",0.575605381165919
"CAD",0.94447169626214
"CHF",1
"CHr",1
"DEM",0.684383652975974
"DKK",0.179527823362673
"ESP",0.00804477588258628
"EUR",1.33853808
"FIM",0.225125944164972
"FRF",0.20405881483085
"GBP",1.5258795
"GRD",0.00392821153338225
"IDR",0.000107805151175812
"IEP",1.69959276960349
"ITL",0.000691297226109995
"JPY",0.0118122699386503
"MXN",0.0774154637931728
"NLG",0.60740209918728
"NOK",0.163894516420096
"NZD",0.72539445
"PLD",581.5
"PLN",0.340959801664601
"PTE",0.00667659979449527
"SEK",0.144239845377043
"SGD",0.738266871165644
"SLV",23.3387361
"TRY",0.678053246936188
"USD",0.9627
"XAG",23.3387361
"XAU",1366.02
"ZAR",0.139562191939693
