"id","equity","numeroValore","ticker"
1673,"OCEAN STRATEGIES","020232","battle7"
1686,"KINGATE GLOBAL FUND SHS USD","030711","battle18"
380,"AVENTIS","0511029EU","AVE.PA"
159,"Adidas Salomon","059053EU","ADS.XE"
1602,"Swissca Lux Fund FCP","1002623","palace44"
1725,"DH Global Inv Euro Leaders","1002805","bianchi16"
1848,"Rights on Gas Natural","10037456EU","GAS.D.MAC"
259,"BG Group Common Stock","1007667","BG..L"
382,"Miracle HDL N","1009374CH","MIRZn.S"
1611,"Thomson","1010505","palace51"
540,"HILTI PS","101097CH","HILP.S"
1797,"Eircom Holdings Ltd","10118406","ERC.AX"
1641,"Beni Stabili Spa","1012978","bigmac21"
1628,"Gothard Nassau Slam Notes Lkd To Nokja","1019076","bigmac9"
486,"FREENET.DE AG","1020957EU","FRNG.F"
897,"Seat Pagine Gialle SpA","1025580EU","PGR.MI"
418,"DT Telekom N","1026592EU","DTE.XE"
1943,"Gam","10265962CH","GAM.S"
177,"Amer Intl Group Common Stock","10315741US","AIG"
881,"FINMECCANICA SPA","1031917EU","FNC.MI"
1984,"SUNCOR ENERGY  INC. CO","10339747US","SU.N"
382,"Dominion Rsc Common Stock","1034750","D"
936,"Target Corp Common Stock","1036943","TGT"
563,"Infineon Technologies AG","1038049EU","IFX.XE"
1654,"Ralston Purina","104914","bigmac32"
219,"Actelion LTD","1053247CH","ATLN.S"
616,"Lindt & Sprüngli N","1057075CH","LISN.S"
506,"Givaudan N","1064593CH","GIVN.S"
1593,"Pharmacia Corp.","1067784","palace35"
1499,"Komax N","1070215CH","KOMN.S"
701,"NH Hoteles Common Stock","10714EU","NHH.MAC"
1647,"Cray Inc. Restricted","1071609","bigmac27"
1667,"GOTTEX MARKET NEUTRAL FUND","1072369","battle"
215,"ASML HOLDING NV","1072820EU","ASML.AS"
866,"SERONO I","1075192CH","SEO.VX"
1616,"Tiscali","1076351","palace56"
597,"KPN Koninklijke","1076509EU","KPN.AS"
987,"UnitedHealth Grp Common Stock","1078451","UNH"
1023,"Worldcom Inc.","1080960US","WCOM.O"
1646,"Gotthard Bank Slam Rel SHS SONERA","1082855","bigmac26"
1572,"Getronics NV","1083560","palace15"
578,"ITALCEMENTI SPA","1086183EU","IT.MI"
611,"Leica Geosystem","1087048CH","LGSN.S"
1706,"ISHARES INC MSCI South Korea","1087270US","US4642867729"
1403,"Prisa","1093403EU","PRS.MAC"
1174,"Tpi Telefonica Pub Info","1093893EU","TPI.MNM"
1576,"Art Advanced Research Technologies Inc.","1094673","palace19"
94,"Mizuho Holdings Inc.","1095726JP","8305.T"
1705,"ISHARES INC MSCI Taiwan","1097771US","US4642867315"
1075,"Oberthur","1097947EU","OCS.PA"
1651,"Global Water Technologies","1100523","bigmac29"
1497,"Cytos N","1102521CH","CYTN.S"
