Data,NAV
2006-11-16,100
2006-11-17,100
2006-11-20,100
2006-11-21,100
2006-11-22,100
2006-11-23,100
2006-11-24,100
2006-11-27,99.5
2006-11-28,99.15
2006-11-29,99.15
2006-11-30,99.21
2006-12-01,98.96
2006-12-04,98.74
2006-12-05,98.79
2006-12-06,98.65
2006-12-08,98.78
2006-12-11,98.64
2006-12-12,98.76
2006-12-13,98.8799999999999
2006-12-14,98.95
2006-12-15,99.46
2006-12-18,99.51
2006-12-19,99.65
2006-12-20,99.39
2006-12-21,99.4
2006-12-26,99.43
2006-12-27,99.3599999999999
2006-12-28,99.71
2007-01-02,99.5699999999999
2007-01-03,100.03
2007-01-04,100.04
2007-01-05,99.8499999999999
2007-01-08,100.03
2007-01-09,99.73
2007-01-10,99.71
2007-01-11,100.15
2007-01-12,100.42
2007-01-15,100.65
2007-01-16,100.599999999999
2007-01-17,100.65
2007-01-18,100.64
2007-01-19,100.64
2007-01-22,100.62
2007-01-23,100.62
2007-01-24,100.61
2007-01-25,101.01
2007-01-26,100.76
2007-01-29,100.489999999999
2007-01-30,100.7
2007-01-31,100.87
2007-02-01,100.89
2007-02-02,101.26
2007-02-05,101.43
2007-02-06,101.4
2007-02-07,101.5
2007-02-08,101.47
2007-02-09,101.26
2007-02-12,101.26
2007-02-13,101.26
2007-02-14,101.32
2007-02-15,101.32
2007-02-16,101.32
2007-02-19,101.69
2007-02-20,101.69
2007-02-21,101.69
2007-02-23,101.69
2007-02-26,101.69
2007-02-27,101.39
2007-02-28,101.39
2007-03-01,99.6
2007-03-02,99.6
2007-03-05,99.43
2007-03-06,99.43
2007-03-07,99.2
2007-03-08,99.2
2007-03-09,99.8599999999999
2007-03-12,99.84
2007-03-13,99.84
2007-03-14,99.46
2007-03-15,98.85
2007-03-19,99.1299999999999
2007-03-20,99.1299999999999
2007-03-21,99.1299999999999
2007-03-22,99.82
2007-03-23,99.82
2007-03-26,100.09
2007-03-27,99.98
2007-03-28,99.87
2007-03-29,99.7199999999999
2007-03-30,99.93
2007-04-02,99.93
2007-04-03,99.95
2007-04-04,100.46
2007-04-09,100.53
2007-04-10,100.53
2007-04-11,100.89
2007-04-12,100.89
2007-04-13,100.77
2007-04-16,100.95
2007-04-17,101.37
2007-04-18,101.16
2007-04-19,101.34
2007-04-20,101.18
2007-04-23,101.8
2007-04-24,101.95
2007-04-25,101.72
2007-04-26,102.01
2007-04-27,102.16
2007-05-01,101.88
2007-05-02,101.88
2007-05-03,102.22
2007-05-04,102.13
2007-05-07,102.32
2007-05-08,102.43
2007-05-09,102.43
2007-05-10,102.39
2007-05-11,102.39
2007-05-14,102.35
2007-05-15,102.25
2007-05-17,102.25
2007-05-18,102.25
2007-05-21,102.39
2007-05-22,102.44
2007-05-23,102.33
2007-05-24,102.58
2007-05-28,102.58
2007-05-29,102.58
2007-05-30,102.58
2007-05-31,102.35
2007-06-01,102.35
2007-06-04,103.6
2007-06-05,103.4
2007-06-07,103.4
2007-06-08,103.4
2007-06-11,101.58
2007-06-12,101.85
2007-06-13,101.85
2007-06-14,101.58
2007-06-15,101.58
2007-06-18,103.35
2007-06-19,103.38
2007-06-20,103.38
2007-06-21,103.38
2007-06-22,103.27
2007-06-25,103.27
2007-06-26,102.08
2007-06-27,102.08
2007-06-29,102.069999999999
2007-07-02,101.39
2007-07-03,102.43
2007-07-04,102.43
2007-07-05,103.15
2007-07-06,102.96
2007-07-09,102.96
2007-07-10,102.96
2007-07-11,103.08
2007-07-12,103.08
2007-07-13,103.3
2007-07-16,103.39
2007-07-17,103.37
2007-07-18,103.37
2007-07-19,103.37
2007-07-20,103.37
2007-07-23,103.37
2007-07-24,103.37
2007-07-25,103.37
2007-07-26,101.87
2007-07-27,101.87
2007-07-30,101.11
2007-08-01,101.11
2007-08-02,100.61
2007-08-03,100.47
2007-08-06,99.82
2007-08-07,99.62
2007-08-08,99.62
2007-08-10,100.98
2007-08-13,99.5799999999999
2007-08-15,99.85
2007-08-16,99.5199999999999
2007-08-17,99.5199999999999
2007-08-20,98.34
2007-08-21,98.8299999999999
2007-08-22,98.8299999999999
2007-08-23,98.8299999999999
2007-08-24,99.5199999999999
2007-08-27,100
2007-08-28,100.08
2007-08-29,100.08
2007-08-30,99.76
