Data,NAV
2006-03-16,100.00
2006-03-17,100.00
2006-03-20,100.00
2006-03-21,100.00
2006-03-22,100.00
2006-03-23,100.00
2006-03-24,100.00
2006-03-27,100.00
2006-03-28,100.00
2006-03-29,100.00
2006-03-30,100.00
2006-03-31,100.00
2006-04-03,100.00
2006-04-04,100.00
2006-04-05,100.00
2006-04-06,100.00
2006-04-07,100.00
2006-04-10,100.00
2006-04-11,100.00
2006-04-12,100.00
2006-04-17,100.00
2006-04-18,100.00
2006-04-19,100.00
2006-04-20,100.00
2006-04-21,100.15
2006-04-24,100.18
2006-04-25,100.16
2006-04-26,100.18
2006-04-27,100.14
2006-05-01,100.13
2006-05-02,100.19
2006-05-03,100.17
2006-05-04,100.19
2006-05-05,100.21
2006-05-08,100.15
2006-05-09,100.22
2006-05-10,100.22
2006-05-11,100.22
2006-05-12,100.25
2006-05-15,100.26
2006-05-16,100.21
2006-05-17,100.26
2006-05-18,100.26
2006-05-19,100.24
2006-05-22,100.27
2006-05-23,100.32
2006-05-25,100.32
2006-05-26,100.31
2006-05-29,100.37
2006-05-30,100.36
2006-05-31,100.31
2006-06-01,100.29
2006-06-05,100.26
2006-06-06,100.32
2006-06-07,100.34
2006-06-08,100.29
2006-06-09,100.26
2006-06-12,100.33
2006-06-13,100.37
2006-06-15,100.37
2006-06-19,100.41
2006-06-20,100.39
2006-06-21,100.42
2006-06-22,100.40
2006-06-23,100.40
2006-06-26,100.40
2006-06-27,100.42
2006-06-29,100.41
2006-06-30,100.36
2006-07-03,100.41
2006-07-04,100.45
2006-07-05,100.46
2006-07-06,100.46
2006-07-10,100.42
2006-07-11,100.51
2006-07-12,100.50
2006-07-13,100.49
2006-07-14,100.53
2006-07-17,100.51
2006-07-18,100.55
2006-07-19,100.56
2006-07-20,100.48
2006-07-21,100.57
2006-07-24,100.57
2006-07-25,100.60
2006-07-26,100.60
2006-07-27,100.62
2006-07-28,100.62
2006-08-01,100.62
2006-08-02,100.68
2006-08-07,100.66
2006-08-08,100.70
2006-08-09,100.69
2006-08-10,100.68
2006-08-11,100.69
2006-08-15,100.69
2006-08-16,100.78
2006-08-17,100.73
2006-08-18,100.75
2006-08-21,100.73
2006-08-22,100.76
2006-08-23,100.76
2006-08-24,100.79
2006-08-25,100.79
2006-08-28,100.78
2006-08-29,100.82
2006-08-30,100.81
2006-08-31,100.83
2006-09-01,100.78
2006-09-04,100.80
2006-09-05,100.88
2006-09-06,100.89
2006-09-07,100.85
2006-09-08,100.84
2006-09-11,100.86
2006-09-12,100.91
2006-09-13,100.91
2006-09-14,100.87
2006-09-15,100.91
2006-09-18,100.91
2006-09-19,100.94
2006-09-20,100.93
2006-09-21,100.93
2006-09-22,100.88
2006-09-25,100.97
2006-09-26,100.99
2006-09-27,100.98
2006-09-28,101.11
2006-09-29,101.08
2006-10-02,101.12
2006-10-03,101.12
2006-10-04,101.14
2006-10-05,101.07
2006-10-06,101.21
2006-10-09,101.18
2006-10-11,101.21
2006-10-12,101.17
2006-10-13,101.15
2006-10-16,101.19
2006-10-17,101.18
2006-10-18,101.19
2006-10-19,101.19
2006-10-20,101.21
2006-10-23,101.22
2006-10-24,101.25
2006-10-25,101.23
2006-10-26,101.25
2006-10-27,101.23
2006-10-30,101.25
2006-11-01,101.30
2006-11-02,101.27
2006-11-03,101.34
2006-11-06,101.31
2006-11-07,101.34
2006-11-08,101.34
2006-11-09,101.38
2006-11-10,101.36
2006-11-13,101.36
2006-11-14,101.43
2006-11-15,101.43
2006-11-16,101.46
2006-11-17,101.42
2006-11-20,101.40
2006-11-21,101.46
2006-11-22,101.46
2006-11-23,101.49
2006-11-24,101.48
2006-11-27,101.47
2006-11-28,101.51
2006-11-29,101.54
2006-11-30,101.55
2006-12-01,101.53
2006-12-04,101.50
2006-12-05,101.59
2006-12-06,101.63
2006-12-08,101.61
2006-12-11,101.60
2006-12-12,101.61
2006-12-13,101.61
