Data,FI,EQ
2007-02-02,101.96,
2007-02-05,101.96,
2007-02-06,102.07,
2007-02-07,102.05,
2007-02-08,102.07,101.26
2007-02-09,102.08,101.46
2007-02-12,102.11,101.32
2007-02-13,102.1,101.32
2007-02-14,102.08,101.58
2007-02-15,102.12,101.61
2007-02-16,102.14,101.69
2007-02-19,102.15,101.76
2007-02-20,102.12,101.69
2007-02-21,102.17,101.38
2007-02-22,102.16,101.56
2007-02-23,102.16,101.49
2007-02-26,102.21,101.39
2007-02-27,102.26,99.99
2007-02-28,102.28,99.6
2007-03-01,102.23,99.49
2007-03-02,102.3,99.43
2007-03-05,102.44,98.67
2007-03-06,102.36,99.2
2007-03-07,102.36,99.51
2007-03-08,102.34,99.86
2007-03-09,102.29,99.84
2007-03-12,102.33,99.8
2007-03-13,102.41,99.46
2007-03-14,102.47,98.85
2007-03-15,102.4,99.13
2007-03-16,102.37,99.06
2007-03-19,102.34,99.5
2007-03-20,102.38,99.54
2007-03-21,102.36,99.82
2007-03-22,102.39,100.09
2007-03-23,102.24,100.09
2007-03-26,102.25,99.98
2007-03-27,102.21,99.87
2007-03-28,102.16,99.72
2007-03-29,102.17,99.93
2007-03-30,102.11,99.93
2007-04-02,102.11,99.95
2007-04-03,102.08,100.46
2007-04-04,102.12,100.53
2007-04-05,102.12,100.53
2007-04-06,102.12,100.53
2007-04-09,102.15,100.8
2007-04-10,102.15,100.8
2007-04-11,102.02,100.91
2007-04-12,101.98,100.77
2007-04-13,101.86,100.95
2007-04-16,101.84,101.37
2007-04-17,101.9,101.16
2007-04-18,102.05,101.34
2007-04-19,101.99,101.18
2007-04-20,101.94,101.8
2007-04-23,101.94,101.8
2007-04-24,102.09,101.72
2007-04-25,102.05,102.01
2007-04-26,102.01,102.16
2007-04-27,101.94,101.88
2007-04-30,101.94,101.88
2007-05-01,102.13,102.05
2007-05-02,102.13,102.05
2007-05-03,102.03,102.13
2007-05-04,102.03,102.13
2007-05-07,102.09,102.43
2007-05-08,102.1,102.18
2007-05-09,102.11,102.39
2007-05-10,102.07,102.09
2007-05-11,102.17,102.35
2007-05-14,102,102.25
2007-05-15,101.92,102.2
2007-05-16,101.92,102.2
2007-05-17,101.86,102.12
2007-05-18,101.89,102.39
2007-05-21,101.88,102.44
2007-05-22,101.94,102.33
2007-05-23,101.78,102.58
2007-05-24,101.83,102.09
2007-05-25,101.83,102.09
2007-05-28,101.81,102.28
2007-05-29,101.75,102.37
2007-05-30,101.77,102.35
2007-05-31,101.7,102.88
2007-06-01,101.68,103.6
2007-06-04,101.64,103.4
2007-06-05,101.59,102.9
2007-06-06,101.65,102.03
2007-06-07,101.54,101.49
2007-06-08,101.44,101.58
2007-06-11,101.49,101.85
2007-06-12,101.44,101.66
2007-06-13,101.28,101.58
2007-06-14,101.31,102.57
2007-06-15,101.28,103.35
2007-06-18,101.39,103.38
2007-06-19,101.44,103.3
2007-06-20,101.44,103.27
2007-06-21,101.39,102.91
2007-06-22,101.41,102.23
2007-06-25,101.53,102.08
2007-06-26,101.57,101.69
2007-06-27,101.67,101.39
2007-06-28,101.58,102.07
2007-06-29,101.57,102.43
2007-07-02,101.68,102.42
2007-07-03,101.71,102.87
2007-07-04,101.61,103.15
2007-07-05,101.48,102.96
2007-07-06,101.41,103.3
2007-07-09,101.42,103.51
2007-07-10,101.61,103.08
2007-07-11,101.63,102.84
2007-07-12,101.52,103.3
2007-07-13,101.51,103.39
2007-07-16,101.6,103.37
2007-07-17,101.63,103.06
2007-07-18,101.63,102.3
2007-07-19,101.63,103
2007-07-20,101.88,102.5
2007-07-23,102,102.89
2007-07-24,101.96,102.14
2007-07-25,102.04,101.87
2007-07-26,102.11,101.46
2007-07-27,102.13,101.11
2007-07-30,102.21,100.83
2007-07-31,102.15,100.83
2007-08-01,102.14,100.61
2007-08-02,102.13,100.47
2007-08-03,102.25,99.82
2007-08-06,102.25,99.82
2007-08-07,102.22,100.03
2007-08-08,102.08,100.98
2007-08-09,102.2,100.31
2007-08-10,102.31,99.58
2007-08-13,102.28,99.85
2007-08-14,102.28,99.85
2007-08-15,102.39,99.52
2007-08-16,102.57,98.47
2007-08-17,102.61,98.34
2007-08-20,102.63,98.83
2007-08-21,102.77,98.76
2007-08-22,102.66,99.52
2007-08-23,102.57,99.68
2007-08-24,102.67,100
2007-08-27,102.71,100.08
2007-08-28,102.82,99.57
2007-08-29,102.89,99.76
2007-08-30,102.81,99.93
2007-08-31,102.69,100.36
2007-09-03,102.71,100.54
2007-09-04,102.7,100.73
2007-09-05,102.8,100.36
2007-09-06,102.91,100.46
2007-09-07,103.05,99.92
2007-09-10,103.05,99.92
2007-09-11,103.05,99.92
2007-09-12,103.11,100.04
2007-09-13,103.05,100.44
2007-09-14,103.07,100.48
2007-09-17,103.13,100.15
2007-09-18,103.04,100.61
2007-09-19,102.91,101.27
2007-09-20,102.89,100.75
2007-09-21,102.84,101.02
2007-09-24,102.84,101.02
2007-09-25,102.84,101.02
2007-09-26,102.8,101.32
2007-09-27,102.8,101.32
2007-09-28,102.95,101.72
2007-10-01,103.01,101.95
2007-10-02,103.1,102.12
2007-10-03,103.05,102.12
2007-10-04,103.11,101.99
2007-10-05,103.1,102.26
2007-10-08,103.1,102.32
2007-10-09,103.16,102.48
2007-10-10,103.1,102.58
2007-10-11,103.08,102.78
2007-10-12,102.98,102.66
2007-10-15,102.98,102.46
2007-10-16,102.98,101.99
2007-10-17,103.05,102.18
2007-10-18,103.15,101.83
2007-10-19,103.36,101.21
2007-10-22,103.54,100.63
2007-10-23,103.5,101.08
2007-10-24,103.61,100.67
2007-10-25,103.64,101.06
2007-10-26,103.63,101.45
2007-10-29,103.63,101.91
2007-10-30,103.59,101.45
2007-10-31,103.59,101.45
2007-11-01,103.45,100.91
2007-11-02,103.53,100.28
2007-11-05,103.64,99.7
2007-11-06,103.58,99.97
2007-11-07,103.64,99.32
2007-11-08,103.73,98.59
2007-11-09,103.87,97.4
2007-11-12,103.89,97.25
2007-11-13,103.84,97.79
2007-11-14,103.76,98.4
2007-11-15,103.87,97.93
2007-11-16,103.91,97.2
2007-11-19,104,95.68
