"1837 Partners LP",73678341.28,"USD"
"2811 Small Value LP",3748219,"USD"
"3A Long Short Fund (CHF) A",0,"CHF"
"3A Long Short Fund (CHF) B",15301370.8,"CHF"
"3A Long Short Fund (EUR) A",0,"EUR"
"3A Long Short Fund (EUR) B",21667917.42,"EUR"
"3A Long Short Fund (USD) A",0,"USD"
"3A Long Short Fund (USD) B",16001200,"USD"
"3C Edge Kasvu",23090608.7,"EUR"
"3L Fund (EUR)",0,"EUR"
"3L Fund (USD)",0,"USD"
"AAM China Fund",850000,"USD"
"Abernathy Group Growth Trust LP",19809081,"USD"
"Acero TMT Fund, LP",4364130,"USD"
"Adelphi Europe EUR",632933951.6,"EUR"
"Adelphi Europe USD",475192701.5,"USD"
"Advisory Research Micro Cap Value",79337811,"USD"
"Agora Absolute Return Fund",97339122.94,"AUD"
"AJ Value Hedge",5110558.15,"EUR"
"AJR International A",324000000,"USD"
"AJR International B",0,"USD"
"Akamatsu Class A JPY",0,"JPY"
"Akamatsu Class B USD",140000000,"USD"
"Albertini Syz Long Short Equity A",31368315.51,"EUR"
"Alchemy NV",64285843.44,"EUR"
"Alder Capital Partners I LP",26504764,"USD"
"Aliseo",479285142.4,"EUR"
"Aliseodue",202478750,"EUR"
"Aliseoquattro",201197238.9,"EUR"
"Alpha Equity International 130/30 LP",2156727,"USD"
"Alpha Equity Market Plus LP",738337,"USD"
"Alpha Praedium 130/30 Fund LP",1363498,"USD"
"AlphaGen Acamar A USD",127000000,"USD"
"AlphaGen Acamar B EUR",126869596.5,"EUR"
"AlphaGen Acamar C GBP",126869596.5,"GBP"
"AlphaGen Aldebaran Limited A1",109000000,"USD"
"AlphaGen Aldebaran Limited A2",0,"USD"
"AlphaGen Aldebaran Limited B1",108928441.5,"EUR"
"AlphaGen Aldebaran Limited B2",0,"EUR"
"AlphaGen Aldebaran Limited C1",108573643.4,"JPY"
"AlphaGen Aldebaran Limited D1",108127497,"GBP"
"AlphaGen Aldebaran Limited D2",108127497,"GBP"
"AlphaGen Avior Ltd (Class A)",73000000,"USD"
"AlphaGen Avior Ltd (Class B)",73046131.32,"EUR"
"AlphaGen Avior Ltd (Class C)",73526697.98,"GBP"
"AlphaGen Capella Ltd (Class A)",1492000000,"USD"
"AlphaGen Capella Ltd (Class B)",1491678892,"EUR"
"AlphaGen Crucis A USD",212000000,"USD"
"AlphaGen Crucis B EUR",211449327.5,"EUR"
"AlphaGen Crucis C JPY",212058767.2,"JPY"
"AlphaGen Dorados A USD",359000000,"USD"
"AlphaGen Eltanin Ltd A",111000000,"USD"
"AlphaGen Eltanin Ltd B",110209952.5,"EUR"
"AlphaGen Eltanin Ltd C",0,"JPY"
"AlphaGen EtaCas A USD",188000000,"USD"
"AlphaGen EtaCas B EUR",188382128.2,"EUR"
"AlphaGen EtaCas C JPY",0,"JPY"
"AlphaGen Hokuto Ltd (Class A)",657000000,"USD"
"AlphaGen Hokuto Ltd (Class B)",656942360.9,"JPY"
"AlphaGen Hokuto Ltd (Class D)",657415181.9,"EUR"
"AlphaGen Octanis A USD",157000000,"USD"
"AlphaGen Octanis B EUR",156344351.3,"EUR"
"AlphaGen Octanis C GBP",157145295.7,"GBP"
"AlphaGen Pictor Ltd (Class A)",18000000,"USD"
"AlphaGen Pictor Ltd (Class B)",17941155.06,"EUR"
"AlphaGen Pictor Ltd (Class C)",18116020.7,"JPY"
