"3A Opportunity Fund (USD) B",9210200,"USD"
"Abraxas Fund",28193243.67,"EUR"
"Absolute Macro Diversified",8854700,"USD"
"Altea SICAV-SIF Global One A USD",14570000,"USD"
"Alternative Treasury Strategy LLC",51711654,"USD"
"AP Global Macro EUR",0,"EUR"
"AP Global Macro USD",0,"USD"
"Apeiron Global Macro",4989066.88,"AUD"
"Argonaut Aggressive Global LP",187800000,"USD"
"Argonaut Global Macro Ltd",146898713.2,"USD"
"Arjun LP",11500000,"USD"
"Atlas Group Macro Trading",23682500,"USD"
"Auriel Global Macro Master",245500000,"USD"
"Balestra Capital Partners LP",905000000,"USD"
"BIA Pacific Macro EUR Management",6208022.5,"EUR"
"BIA Pacific Macro USD Management",26046541,"USD"
"BIA Pacific Macro USD Ordinary",250659368,"USD"
"Blue Sky World LP",68346986.71,"USD"
"Bridgewater Pure Alpha 1",6381000000,"USD"
"CAAM Invest VaR 20 C (EUR)",32026401.46,"EUR"
"CAAM Invest VaR 20 C (USD)",5763000,"USD"
"CAAM Invest VaR 20 H (EUR)",903028.69,"EUR"
"CAAM Invest VaR 20 H (USD)",8000,"USD"
"CAAM Invest VaR 20 I (EUR)",47366458.44,"EUR"
"CAAM Invest VaR 20 I (USD)",49783000,"USD"
"CAAM Invest VaR 20 S (EUR)",792531.51,"EUR"
"CAAM Invest VaR 20 S (USD)",847000,"USD"
"CAAM Invest VaR 8 (EUR) C",29387169.93,"EUR"
"CAAM Invest VaR 8 (EUR) I",6359303.3,"EUR"
"CAAM Invest VaR 8 (EUR) SC",8675933.87,"EUR"
"CAAM Invest VaR 8 (GBP) C",173892.69,"GBP"
"CAAM Invest VaR 8 (GBP) I",92647.75,"GBP"
"CAAM Invest VaR 8 (GBP) ID",12828.15,"GBP"
"CAAM Invest VaR 8 (USD) C",14234000,"USD"
"CAAM Invest VaR 8 (USD) I",8917000,"USD"
"CAAM Invest VaR 8 (USD) SC",5855000,"USD"
"Camomille Global Opportunities",197637142,"CHF"
"Centennial Global Macro LP",240188457.3,"USD"
"Centennial Global Macro Ltd",74495141.61,"USD"
"Centrale Global Macro",406426.41,"EUR"
"Claritas G4 - Global Macro",20323000,"USD"
"CrossBorder Pulsar Macro B",944640000,"USD"
"Danix (Class A)",2925713.79,"USD"
"Danix (Class C)",3323930.48,"USD"
"Danix (Class M)",30686055.12,"USD"
"Denali Partners LP",35000000,"USD"
"DWS Hedge L/S Global Macro",26631852.86,"EUR"
"Element Capital Feeder Fund Limited",687874900,"USD"
"Elk River Trading Strategy",73146099.65,"USD"
"Excalibur Absolute Return",29000000,"USD"
"FEM Currency Portfolio Ltd",1886000,"USD"
"Forum Global Opportunities Fund",37000000,"USD"
"Friedberg Global Macro Hedge Ltd",527360761,"USD"
"FTSEhx SPC Global Macro",0,"USD"
"Fulcrum Alpha",0,"USD"
"GAM Selection Hedge Inc",14403400,"USD"
"GHF Sicav - Global Macro Class A",152780000,"USD"
"GHF Sicav - Global Macro Class B",0,"EUR"
"GLC Global Macro Ltd",75390552,"USD"
"Global Macro Segregated Portfolio A",314000,"USD"
"Global Macro Segregated Portfolio B",4509000,"USD"
