,01/31/90,02/28/90,03/31/90,04/30/90,05/31/90,06/30/90,07/31/90,08/31/90,09/30/90,10/31/90,11/30/90,12/31/90,01/31/91,02/28/91,03/31/91,04/30/91,05/31/91,06/30/91,07/31/91,08/31/91,09/30/91,10/31/91,11/30/91,12/31/91,01/31/92,02/29/92,03/31/92,04/30/92,05/31/92,06/30/92,07/31/92,08/31/92,09/30/92,10/31/92,11/30/92,12/31/92,01/31/93,02/28/93,03/31/93,04/30/93,05/31/93,06/30/93,07/31/93,08/31/93,09/30/93,10/31/93,11/30/93,12/31/93,01/31/94,02/28/94,03/31/94,04/30/94,05/31/94,06/30/94,07/31/94,08/31/94,09/30/94,10/31/94,11/30/94,12/31/94,01/31/95,02/28/95,03/31/95,04/30/95,05/31/95,06/30/95,07/31/95,08/31/95,09/30/95,10/31/95,11/30/95,12/31/95,01/31/96,02/29/96,03/31/96,04/30/96,05/31/96,06/30/96,07/31/96,08/31/96,09/30/96,10/31/96,11/30/96,12/31/96,01/31/97,02/28/97,03/31/97,04/30/97,05/31/97,06/30/97,07/31/97,08/31/97,09/30/97,10/31/97,11/30/97,12/31/97,01/31/98,02/28/98,03/31/98,04/30/98,05/31/98,06/30/98,07/31/98,08/31/98,09/30/98,10/31/98,11/30/98,12/31/98,01/31/99,02/28/99,03/31/99,04/30/99,05/31/99,06/30/99,07/31/99,08/31/99,09/30/99,10/31/99,11/30/99,12/31/99,01/31/00,02/29/00,03/31/00,04/30/00,05/31/00,06/30/00,07/31/00,08/31/00,09/30/00,10/31/00,11/30/00,12/31/00,01/31/01,02/28/01,03/31/01,04/30/01,05/31/01,06/30/01,07/31/01,08/31/01,09/30/01,10/31/01,11/30/01,12/31/01,01/31/02,02/28/02,03/31/02,04/30/02,05/31/02,06/30/02,07/31/02,08/31/02,09/30/02,10/31/02,11/30/02,12/31/02,01/31/03,02/28/03,03/31/03,04/30/03,05/31/03,06/30/03,07/31/03,08/31/03,09/30/03,10/31/03,11/30/03,12/31/03,01/31/04,02/29/04,03/31/04,04/30/04,05/31/04,06/30/04,07/31/04,08/31/04,09/30/04,10/31/04,11/30/04,12/31/04,01/31/05,02/28/05,03/31/05,04/30/05,05/31/05,06/30/05,07/31/05,08/31/05,09/30/05,10/31/05,11/30/05,12/31/05,01/31/06,02/28/06,03/31/06,04/30/06,05/31/06,06/30/06,07/31/06,08/31/06,09/30/06,10/31/06,11/30/06,12/31/06,01/31/07,02/28/07,03/31/07,04/30/07,05/31/07,06/30/07,07/31/07,08/31/07,09/30/07,10/31/07,11/30/07,12/31/07,01/31/08,02/29/08,03/31/08,04/30/08,05/31/08,06/30/08,07/31/08,08/31/08,09/30/08,10/31/08,11/30/08,12/31/08,01/31/09
Absolute Guaranteed FX Evolution USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-0.0244,-0.02900779,-0.023857279,-0.008218882,-0.014393196,-0.001548844,-0.016288089,0.006758279,-0.001678228,-0.002129329,0.019878706,-0.013765004,-0.027244305,0.001033058,-0.009402591,0.00671374,-0.021731632,-0.019511048,-0.027331575,-0.007148139,-0.017130089,-0.001641829,0.016698292,0.011944756,-0.036026067
Absolute Trading 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0111,0,0.047932046,0.004535366,-0.08568684,0,0.019646985,0.03132406,-0.050154861,0.012622278,-0.014957931,-0.011283349,0.025703925,-0.021732349,-0.036458333,0.04743519,-0.028436019,0.044769648,0.000726292,0.004769311,-0.012073057,-0.009609359,-0.012866484,-0.035683761,0.001994239,-0.044449359,0.054038417,-0.000329345,-0.019327916,0.075363942,0.054462147,-0.0086905,0.027993624,0.013082663,-0.052898412,-0.088374912,0.012076224,-0.050355774,-0.010144092,-0.00500757,0.00093633,0,-0.005261927,-0.015986834,0.019113607,0.021333959,-0.013542982,0.020244328,0.016421485,-0.011219567,-0.006127312,0.016554401,0.01212938,0.026964048,-0.017720151,-0.013309867,-0.005797101,-0.000224266,-0.004598475,-0.015661972,0.059638278,0.007669871,-0.008040309,-0.021614611
Admiralty Ltd A EUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.044,0.0374,0.0503,-0.1016,0.0661,0.0191,-0.0875,0.3642,0.0352,-0.003,-0.0235,0.0446,-0.0839,0.0358,-0.0549,0.0613,-0.0646,0.0828,0.02,-0.0569,0.0191,-0.1668,0.0525,0.0865,0.0309,-0.0513,-0.0628,-0.0044,0.048,-0.0473,-0.032,0.0377,-0.0024,0.0393,0.1235,0.0708,0.0206,0.0135,0.117,-0.0408,0.0226,-0.0245,0.0654,0.0192,0.0964,0.0148,-0.0612,0.0833,-0.0231,-0.01,0.0277,-0.0153,0.0372,0.1356,0.091,0.0399,0.0515,-0.049,-0.0318,0.1222,0.0752,0.0594,-0.0848,0.062,0.0845,-0.0353,-0.0457,-0.0053,-0.0394,0.0443,-0.0152,-0.0004,0.0413,0.0759,-0.0349,-0.0634,-0.0034,-0.0482,-0.0243,-0.0071,0.0341,0.0598,0.145,0.023,-0.087,0.0574,0.0368,-0.072,0.0256,0.0721,0.0531,-0.0101,0.0359,-0.0116,0.0584,-0.0532,0.0276,-0.0415,0.0147,0.0298,-0.0768,-0.024,-0.079,0.0973,-0.0019,0.0865,0.0528,0.083,0.0322,-0.0779,-0.0693,0.1196,0.1134,0.0565,-0.0503,-0.0559,0.1534,0.1406,-0.0331,0.0189,-0.0135,0.0859,0.0212,0.0092,0.0483,0.0475,-0.0418,-0.0282,0.101,0.1264,0.0415,0.0298,-0.005
Admiralty Ltd B USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0313,0.0038,-0.0271,0.0278,-0.0097,0.0026,0.0234,0.0535,-0.0247,-0.041,-0.002,-0.0326,-0.0156,-0.0038,0.0227,0.0377,0.0989,0.0194,-0.0569,0.0395,0.0262,-0.0468,0.0155,0.0504,0.0383,-0.0042,0.0233,-0.006,0.0413,-0.0337,0.0209,-0.0259,0.0127,0.0239,-0.0481,-0.0128,-0.0486,0.0678,0.0039,0.0601,0.0424,0.0599,0.0224,-0.0496,-0.0408,0.0849,0.0832,0.0426,-0.0292,-0.0343,0.107,0.1017,-0.0201,0.0162,-0.0046,0.0607,0.0175,0.0046,0.0342,0.0368,-0.0266,-0.019,0.0659,0.082,0.0283,0.0251,-0.0025
AHL Alpha plc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0521,0.062770334,0.038415724,0.009941688,-0.000189304,-0.007857616,0.035877863,-0.026989683,-0.021111427,-0.006769826,0.036514119,0.10342884,0.069385323,0.09951437,-0.015132865,0.034112631,0.041660742,-0.002252252,-0.024078254,0.021237822,0.036719286,0.088248924,-0.036379122,0.038510101,0.009240122,-0.014395856,0.065330318,-0.005105553,0.028195814,0.031684612,-0.020111975,0.027292395,0.019763486,-0.017262378,0.187456221,0.018921862,0.033622801,0.041576907,0.01302999,-0.046631278,0.011007367,-0.003982207,0.048232742,-0.028646784,0.025314341,-0.025259727,0.012748171,0.014032192,-0.043426943,0.032591584,0.010424822,0.005953837,-0.002878223,-0.003699638,-0.03060475,0.055059774,-0.046201724,-0.026185895,0.022293814,0.000378167,0.050277218,0.033113377,0.125962916,0.008319868,0.012376828,0.089889533,-0.040604431,-0.016040197,0.014010279,0.02098331,0.014671009,0.095073385,0.016504468,-0.027490062,-0.019948187,-0.022028373,-0.045529627,0.002359901,-0.007000251,0.000790314,0.049939984,0.100755137,0.012490434,0.059576191,-0.065678182,-0.039619349,0.090343829,0.043017473,0.054325303,-0.053799342,-0.001201231,0.055122648,0.024649142,0.000301282,-0.003660627,0.011673333,0.010343401,-0.022613523,0.065918719,0.034436826,-0.006354098,-0.008604207,-0.030601093,-0.023852156,-0.035463563,-0.015542825,0.015597424,0.022355814,0.056481992,0.043591695,0.004333333,-0.046340856,0.037260191,-0.006878185,-0.018032475,0.024900548,0.05121373,3.99E-05,0.018540694,0.028059175,0.007966913,0.044908764,-0.002696345,0.031046434,-0.004153321,-0.01275934,0.067646427,-0.025803531,-0.006866997,-0.033705918,0.008142037,0.015405415,0.004975473,0.002301095,0.02732364,0.056969204,-0.024346489,-0.053207906,0.06013421,0.023961792,0.0379209,-0.025947244,-0.024221071,0.038617853,0.060847468,0.030111541,-0.037091988,0.041720991,0.006940494,0.041949153,0.010980073,0.024899437,0.005507804,-0.037614822,-0.028715508,-0.006931782,0.107828159,0.006870113,0.046895616,-0.017956381
AIMhedge Global Diversified Ltd EUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.06453,0.014057105,0.050757943,-0.072203216,0.027216587,0.040390859,0.001618876,0.06755965,0.062356882,-0.059542896,0.101584475,0.045609691,0.054975415,-0.0346209,0.049587444,0.077074552,-0.00747729,-0.051303453,-0.072136643,0.037495095,-0.014331524,0.038951592,-0.075474892,0.003245483,0.001907811,-0.058897067,-0.025230266,0.036983891,0.047753322,0.006678296,0.030092249,-0.040099006,0.115633997,0.043114023,0.04747017,-0.001245927,0.080990308,0.190146471,-0.010325097,-0.009442291,0.01528211,0.040665246,-0.050603091,0.011659091,0.050672365,0.043569787,0.005958806,0.001330362,-0.046612327
AIS Futures (3x 6x) LP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.08877,0.17055,0.15784,0.04119,0.11401,0.06882,0.02703,0.1081,0.10206,-0.13823,-0.13394,0.12941,0.14298,0.08881,0.01227,0.1521,-0.18649,-0.02873,0.0225,-0.05688,-0.0015,0.0942,0.07732,0.11931,0.06928,0.0268,0.01102,0.00046,0.09749,0.08154,-0.04476,0.00339,-0.15561,0.10136,-0.18268,0.24233,0.10353,-0.01353,0.13248,-0.14458,0.16065,0.0984,0.05294,0.01193,0.12491,0.02757,0.00791,-0.04126,-0.07528,-0.09337,0.01342,-0.01214,-0.13088,0.01899,-0.0833,0.05011,0.11129,-0.05514,-0.06657,-0.17536,-0.09011,-0.01194,-0.11837,0.17218,-0.11715,-0.19807,-0.00478,0.18619,0.13431,-0.05923,0.06292,0.06926,0.08425,-0.1063,0.21285,0.01232,0.0303,-0.09931,-0.03392,0.1266,0.11272,0.00278,0.07133,-0.04767,-0.1313,0.06257,0.14629,-0.1354,0.1761,-0.0653,0.0945,-0.0254,-0.022,-0.01491,0.04187,0.16527,-0.07357,-0.09741,-0.00374,-0.03353,0.00177,0.03526,0.0546,-0.0401,0.01,-0.04369,-0.0243,0.0541,-0.0013,-0.08814,0.04724,0.07636,0.08009,0.06802,-0.2143,-0.0758,0.07504,0.10278,0.1957,-0.24135,-0.11349,0.092,-0.0354,0.0789,0.11062,0.0776,0.09529,0.03352,0.14101,0.0603,0.17064,0.17759,-0.1325,-0.04715,-0.04199,0.07446,0.06782,0.05595,0.12219,0.03062,-0.1594,-0.0059,0.2664,0.0633,-0.0881,0.0115,0.0419,0.0896,0.0869,0.0299,-0.1668,-0.0598,0.1816,0.0923,-0.1466,0.1422,0.23,-0.0426,-0.0963,0.0523,-0.1425,-0.1954,0.1374,0.1975,-0.1427,-0.0008,0.1215,-0.0165,-0.0273,0.0066,0.0181,0.0512,-0.0362,0.2821,0.125,-0.0141,0.1613,0.1476,0.2912,-0.0996,0.0319,0.1196,0.2611,-0.2117,0.2559,-0.2005,-0.4902,-0.3403,-0.1384,-0.1239
AIS Futures II (2x 4x) LP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.00037,0.00114,0.00123,0.00093,0.02161,0.00668,0.0439,0.0384,-0.0483,-0.05219,0.04261,0.04964,0.02724,0.00646,0.05204,-0.06078,-0.00635,0.00912,-0.01581,0.00212,0.02821,0.0251,0.04347,0.02742,0.01219,0.00375,0.00371,0.03934,0.02888,-0.0136,0.00372,-0.04929,0.0569,-0.10372,0.13666,0.05474,-0.00866,0.08326,-0.07982,0.09502,0.05883,0.0373,0.0102,0.07543,0.01956,0.00715,-0.02022,-0.04721,-0.05649,0.01116,-0.00357,-0.08563,0.01529,-0.05295,0.0353,0.07607,-0.03363,-0.03964,-0.11199,-0.05665,-0.00551,-0.07859,0.11354,-0.07566,-0.13381,-0.00486,0.1265,0.09209,-0.0382,0.04326,0.04913,0.0601,-0.06896,0.13927,0.01107,0.02236,-0.06523,-0.01728,0.087,0.07609,0.00196,0.04991,-0.0324,-0.08771,0.0438,0.0983,-0.0887,0.1159,-0.039,0.06449,-0.0163,-0.0142,-0.01004,0.0313,0.09148,-0.03971,-0.05167,0.0004,-0.02117,0.00462,0.02339,0.03029,-0.0218,0.0047,-0.0293,-0.0169,0.0395,0.00214,-0.05936,0.03218,0.04871,0.0448,0.0393,-0.1236,-0.05195,0.0524,0.06841,0.0979,-0.1407,-0.0722,0.05825,-0.02232,0.0524,0.0639,0.0439,0.05593,0.02176,0.09741,0.0425,0.11295,0.12037,-0.0807,-0.02458,-0.02272,0.03656,0.03402,0.0297,0.08017,0.02244,-0.1054,0.0159,0.1703,0.047,-0.0609,0.0077,0.0299,0.05911,0.04758,0.0215,-0.1161,-0.0348,0.1162,0.0611,-0.0935,0.0939,0.1526,-0.0247,-0.0648,0.0343,-0.0935,-0.1218,0.0943,0.1253,-0.0918,0.0068,0.07,-0.0099,-0.0179,0.0058,0.0138,0.0346,-0.0221,0.1863,0.092,-0.0092,0.1416,0.1256,0.1988,-0.0709,0.0302,0.0829,0.1807,-0.1422,-0.1565,-0.1327,-0.3393,-0.2222,-0.0771,-0.075
Alexys Partners LP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0017,-0.0386,-0.0446,0.02,-0.0048,-0.0243,-0.0294,0.0157,-0.0319,0.1081,0.1064,0.1343,-0.0398,0.0835,0.1422,0.0247,0.0296,-0.0405,-0.044496567,-0.0328,-0.0057,0.0349,0.0018,-0.0144,-0.0299,-0.0067,0.0053,0.0304,0.0063,-0.0289,-0.077,0.0518,-0.0078,0.0173,0.0454,0.1355,0.0627,-0.0341,-0.0606,-0.0062,0.1217,-0.14,-0.0709,-0.119,-0.0208,-0.0048,-0.0022,-0.0076
Aliquot Agriculture Inc A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000183486,-0.018597505,-0.012197117,0.081797753,0.00990532,0.003096176,-0.02139049,0.012484009,0.01071802,0.014591775,-0.008709876,-0.02940231,0.011812501,0.073604504,0.039594301,0.028291004,-0.008993421,0.045605418,-0.028312966,-0.016882259,0.052899483,0.016893186,0.022999229,0.009399716,0.087701315,-0.02039708,0.01669656,0.083106136,0.040097133,0.003160412,-4.26E-08,0,-0.029574491,0.123468148,-0.283696713,0.186025768,-0.156847998,-0.189496656,-0.057082621,0.046652083,-0.046253805
