,01/31/90,02/28/90,03/31/90,04/30/90,05/31/90,06/30/90,07/31/90,08/31/90,09/30/90,10/31/90,11/30/90,12/31/90,01/31/91,02/28/91,03/31/91,04/30/91,05/31/91,06/30/91,07/31/91,08/31/91,09/30/91,10/31/91,11/30/91,12/31/91,01/31/92,02/29/92,03/31/92,04/30/92,05/31/92,06/30/92,07/31/92,08/31/92,09/30/92,10/31/92,11/30/92,12/31/92,01/31/93,02/28/93,03/31/93,04/30/93,05/31/93,06/30/93,07/31/93,08/31/93,09/30/93,10/31/93,11/30/93,12/31/93,01/31/94,02/28/94,03/31/94,04/30/94,05/31/94,06/30/94,07/31/94,08/31/94,09/30/94,10/31/94,11/30/94,12/31/94,01/31/95,02/28/95,03/31/95,04/30/95,05/31/95,06/30/95,07/31/95,08/31/95,09/30/95,10/31/95,11/30/95,12/31/95,01/31/96,02/29/96,03/31/96,04/30/96,05/31/96,06/30/96,07/31/96,08/31/96,09/30/96,10/31/96,11/30/96,12/31/96,01/31/97,02/28/97,03/31/97,04/30/97,05/31/97,06/30/97,07/31/97,08/31/97,09/30/97,10/31/97,11/30/97,12/31/97,01/31/98,02/28/98,03/31/98,04/30/98,05/31/98,06/30/98,07/31/98,08/31/98,09/30/98,10/31/98,11/30/98,12/31/98,01/31/99,02/28/99,03/31/99,04/30/99,05/31/99,06/30/99,07/31/99,08/31/99,09/30/99,10/31/99,11/30/99,12/31/99,01/31/00,02/29/00,03/31/00,04/30/00,05/31/00,06/30/00,07/31/00,08/31/00,09/30/00,10/31/00,11/30/00,12/31/00,01/31/01,02/28/01,03/31/01,04/30/01,05/31/01,06/30/01,07/31/01,08/31/01,09/30/01,10/31/01,11/30/01,12/31/01,01/31/02,02/28/02,03/31/02,04/30/02,05/31/02,06/30/02,07/31/02,08/31/02,09/30/02,10/31/02,11/30/02,12/31/02,01/31/03,02/28/03,03/31/03,04/30/03,05/31/03,06/30/03,07/31/03,08/31/03,09/30/03,10/31/03,11/30/03,12/31/03,01/31/04,02/29/04,03/31/04,04/30/04,05/31/04,06/30/04,07/31/04,08/31/04,09/30/04,10/31/04,11/30/04,12/31/04,01/31/05,02/28/05,03/31/05,04/30/05,05/31/05,06/30/05,07/31/05,08/31/05,09/30/05,10/31/05,11/30/05,12/31/05,01/31/06,02/28/06,03/31/06,04/30/06,05/31/06,06/30/06,07/31/06,08/31/06,09/30/06,10/31/06,11/30/06,12/31/06,01/31/07,02/28/07,03/31/07,04/30/07,05/31/07,06/30/07,07/31/07,08/31/07,09/30/07,10/31/07,11/30/07,12/31/07,01/31/08,02/29/08,03/31/08,04/30/08,05/31/08,06/30/08,07/31/08,08/31/08,09/30/08,10/31/08,11/30/08,12/31/08,01/31/09
1837 Partners LP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0043,0.0588,0.0114,0.0276,0.0445,0.011,0.057,0.0057,0.0195,-0.0132,0.0153,0.0746,0.0945,0.0171,0.0275,-0.0283,0.0563,0.0416,-0.0207,0.0235,-0.0582,-0.0324,0.0156,0.0272,0.0518,0.0235,0.0201,0.0139,0.0051,-0.0547,-0.0654,0.0504,-0.0115,0.0933,0.0253,0.0019,-0.0138,-0.0372,-0.0154,0.0174,0.006,0.0206,0.0243,0.0119,0.0128,-0.0067,0.0093,0.0177,0.0455,-0.0011,0.0197,-0.0054,0.0014,0.0078,-0.0258,-0.0156,0.0354,0.0057,0.0104,0.0118,-0.0025,0.0209,0.025,-0.0387,0.0013,0.0372,0.0369,0.0013,0.0067,-0.0048,0.0131,0.0431,0.0173,0.0069,0.0115,0.0104,0.0038,0.019,-0.0141,0.0612,0.0168,-0.0077,0.0047,0.0123,0.0349,0.0263,0.0291,0.053,-0.0087,0.0041,-0.0258,0.0003,0.0211,0.0489,-0.0151,-0.0322,-0.0244,-0.0477,-0.0016,-0.0437,0.003,-0.0192,0.0446,0.0689,-0.0338,-0.1801,-0.0568,0.0123,-0.109
2811 Small Value LP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0233,-0.0115,-0.1035,-0.01,0.0645,0.0853,-0.0572,0.0226,-0.0159,0.142,-0.0185,0.0525,0.006,0.0167,0.0296,0.0364,0.0002,-0.0185,-0.0161,0.0082,-0.0313,0.0004,0.0253,0.0234,0.0071,0.0187,0.0437,-0.0125,0.0284,0.0475,-0.0261,0.0115,0.022,-0.015,0.03,-0.1629,-0.0238,-0.0116,-0.0325,0.0101,-0.0883,0.0288,-0.0268,-0.0286,-0.1342,-0.1345,0.0259,-0.1387
3A Long Short Fund (CHF) A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0112,0.009728964,0,0.015975241,0.02161933,0.016153623,0.005678797,0.012842062,0.013061476,0.0133164,0.013014258,0.003720538,-0.004564212,-0.037973207,0.031003125,0.046427053,-0.052173838,0.008701521,-0.076010489,0.014297737,-0.046630325,0.002934967,0.034610701,-0.004047517,-0.07459091,-0.032634921,-0.093342522,-0.080921299,-0.041614157,-0.023587102,-0.002146344
3A Long Short Fund (CHF) B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.01811,-0.027467435,-0.014419951,0.022302394,0.03137797,0.017887195,0.036749564,-0.04500573,0.036097473,0.041566538,0.05354694,0.004828369,0.029688758,0.029861276,-0.044966448,-0.018667519,-0.011897947,0.009732794,0,0.017256598,0.023497766,0.017591753,0.005682008,0.012840693,0.013160478,0.013352816,0.013049401,0.00375115,-0.004528432,-0.037934834,0.031037304,0.046447784,-0.052142727,0.008743231,-0.075976971,0.014323352,-0.046839042,0.002973654,0.034648777,-0.004020324,-0.074555979,-0.032611016,-0.093312612,-0.080898068,-0.041580329,-0.02357788,-0.002115803
3A Long Short Fund (EUR) A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0451636,-0.017381826,-0.01011117,0.011175308,0.001063855,0.018891833,0.025073184,0.018285701,0.006373666,0.013274209,0.014403772,0.014396488,0.013868105,0.004695785,-0.003430288,-0.036768261,0.0324694,0.048913377,-0.050788113,0.011571409,-0.077379884,0.018380425,-0.044603862,0.005044484,0.036806653,-0.002342677,-0.071283876,-0.030781699,-0.092626236,-0.088040627,-0.038772951,-0.017392119,-0.001246619
3A Long Short Fund (EUR) B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.01556,-0.028442566,-0.010518172,0.023658573,0.032071596,0.018702992,0.037543935,-0.044313859,0.03699193,0.03982584,0.056546253,0.006353207,0.029587792,0.03096035,-0.045139454,-0.01734833,-0.01007596,0.011212137,0.00110012,0.01892376,0.025111247,0.01833274,0.006410361,0.013304881,0.014438417,0.014429504,0.013906438,0.004732452,-0.003401361,-0.036733323,0.032498415,0.04894058,-0.050748344,0.011603611,-0.077351646,0.018421074,-0.044749244,0.005086185,0.036833968,-0.002314042,-0.071248316,-0.03075949,-0.092603177,-0.088005919,-0.038744052,-0.017347172,-0.001218677
3A Long Short Fund (USD) A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05865,0.030890285,0.055878397,0.080110385,0.059403896,-0.030077674,0.078996752,0.028517555,-0.019465092,0.072376396,0.025093004,0.013978431,0.000277197,0.040554318,0.062396298,0.131743254,0.013398038,0.171122516,-0.015454895,-0.05686199,-0.017112726,0.014023743,-0.011411259,0.02909512,-0.02760272,-0.023322261,-0.025517849,0.013006361,0.000231592,0.002434353,-0.008871265,-0.008434608,0.004176582,0.005094909,0.000768792,0.006591711,0.004398906,-0.018338981,-0.00151818,0.008590013,0.004076286,-0.0040494,0.00845597,0.000110278,0.006669382,-0.002311443,-0.011832847,0.011176073,-0.000179708,-0.00031015,-0.000169536,0.001289574,-0.009846993,-0.004317171,-0.008873748,-0.009168461,0.015349578,0.007101283,0.016947749,0.016972634,-0.001423749,0.014759462,-0.00154992,0.007413947,0.014134677,0.009587828,0.001775849,-0.009946368,-0.0159267,0.010218245,-0.008048366,0.007779296,0.024371369,0.016459511,0.036511982,0.012398014,0.005406983,0.029936818,-0.016209486,-0.025643854,-0.011375731,0.022146282,0.033270064,0.020474489,0.037682887,-0.042031819,0.037470103,0.043572137,0.058397987,0.005900066,0.032092044,0.035368346,-0.044032395,-0.014897762,-0.008269935,0.013362224,0.002506747,0.020287224,0.028565697,0.018934608,0.007854558,0.014956996,0.016203044,0.016192503,0.015296407,0.006350244,-0.002191124,-0.035828874,0.035690736,0.04976231,-0.051224445,0.011946388,-0.076994073,0.017577502,-0.048161425,0.003504254,0.034762485,-0.003354813,-0.071717017,-0.030109607,-0.092928509,-0.070821279,-0.041278218,-0.024212425,-0.002459057
3A Long Short Fund (USD) B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0098473,-0.00431691,-0.008874118,-0.009168079,0.015349353,0.007101499,0.016947355,0.016972738,-0.001423996,0.014760065,-0.001549862,0.007413814,0.014134943,0.009587701,0.001775416,-0.00994601,-0.015926653,0.010294816,-0.00808568,0.007816686,0.024473981,0.016493701,0.036549464,0.01243026,0.005440321,0.029970699,-0.016212493,-0.025609364,-0.011353671,0.022251966,0.033305623,0.020505325,0.037727095,-0.041935331,0.037501611,0.0435955,0.058437065,0.005931831,0.032122437,0.035400405,-0.043999743,-0.014870313,-0.008226202,0.013391687,0.002539385,0.020322268,0.028617686,0.019013298,0.00789138,0.014990607,0.016253232,0.01622142,0.015338419,0.00639028,-0.002157161,-0.03580043,0.035731641,0.049789698,-0.051190299,0.011976413,-0.076964693,0.017613443,-0.048137114,0.003538654,0.034795953,-0.003322301,-0.071684352,-0.030074447,-0.092911942,-0.070781843,-0.041362062,-0.024175508,-0.002426903
3C Edge Kasvu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0001,0.00169983,0.005090836,-0.00168835,0.004377238,-0.002476228,0.00019859,-0.000198551,0.003673915,0.000296795,0.002175848,0.024079739,0.004336513,0.004797544,0.016902215,0.020847028,-0.025572624,0.01633154,0.021270667,0.017826285,-0.003127513,-0.003137325,-0.03165183,0.024551955,0.028622184,0.039474148,-0.006798223,0.018076299,0.009917175,0.000365233,0.001219765,0.010028012,-0.004020612,-0.005338518,0.002956914,0.007837081,0.006260243,-0.013932771,0.014377379,0.020556198,-0.016057882,-0.008415352,-0.00223207,0.005629533,-0.010283405,0.010060925,0.025488662,-0.028288914,0.030993865,-0.017018542,-0.001178427,-0.000929308,0.016379122,0.02608668,0.089269095,-0.02041354,-0.009703516,0.007567306,-2.19E-05,0.019377586,-0.001386388,0.007972062
3L Fund (EUR),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0077,0.0564,-0.0586,0.0061,0.0052,0.0175,0.036,0.0155,-0.007,0.0097,-0.0049,0.0048,0.0501,0.0166,0.006,0.0346,-0.0128,-0.0055,0.0207,0.0088,-0.0065,-0.0207,-0.0535,0.0059,-0.0274,0.0086,0.0233,-0.0151,-0.012,0.004,-0.0374,-0.003,0.0176,-0.0504,0.0057
