,1/31/90,2/28/90,3/31/90,4/30/90,5/31/90,6/30/90,7/31/90,8/31/90,9/30/90,10/31/90,11/30/90,12/31/90,1/31/91,2/28/91,3/31/91,4/30/91,5/31/91,6/30/91,7/31/91,8/31/91,9/30/91,10/31/91,11/30/91,12/31/91,1/31/92,2/29/92,3/31/92,4/30/92,5/31/92,6/30/92,7/31/92,8/31/92,9/30/92,10/31/92,11/30/92,12/31/92,1/31/93,2/28/93,3/31/93,4/30/93,5/31/93,6/30/93,7/31/93,8/31/93,9/30/93,10/31/93,11/30/93,12/31/93,1/31/94,2/28/94,3/31/94,4/30/94,5/31/94,6/30/94,7/31/94,8/31/94,9/30/94,10/31/94,11/30/94,12/31/94,1/31/95,2/28/95,3/31/95,4/30/95,5/31/95,6/30/95,7/31/95,8/31/95,9/30/95,10/31/95,11/30/95,12/31/95,1/31/96,2/29/96,3/31/96,4/30/96,5/31/96,6/30/96,7/31/96,8/31/96,9/30/96,10/31/96,11/30/96,12/31/96,1/31/97,2/28/97,3/31/97,4/30/97,5/31/97,6/30/97,7/31/97,8/31/97,9/30/97,10/31/97,11/30/97,12/31/97,1/31/98,2/28/98,3/31/98,4/30/98,5/31/98,6/30/98,7/31/98,8/31/98,9/30/98,10/31/98,11/30/98,12/31/98,1/31/99,2/28/99,3/31/99,4/30/99,5/31/99,6/30/99,7/31/99,8/31/99,9/30/99,10/31/99,11/30/99,12/31/99,1/31/00,2/29/00,3/31/00,4/30/00,5/31/00,6/30/00,7/31/00,8/31/00,9/30/00,10/31/00,11/30/00,12/31/00,1/31/01,2/28/01,3/31/01,4/30/01,5/31/01,6/30/01,7/31/01,8/31/01,9/30/01,10/31/01,11/30/01,12/31/01,1/31/02,2/28/02,3/31/02,4/30/02,5/31/02,6/30/02,7/31/02,8/31/02,9/30/02,10/31/02,11/30/02,12/31/02,1/31/03,2/28/03,3/31/03,4/30/03,5/31/03,6/30/03,7/31/03,8/31/03,9/30/03,10/31/03,11/30/03,12/31/03,1/31/04,2/29/04,3/31/04,4/30/04,5/31/04,6/30/04,7/31/04,8/31/04,9/30/04,10/31/04,11/30/04,12/31/04,1/31/05,2/28/05,3/31/05,4/30/05,5/31/05,6/30/05,7/31/05,8/31/05,9/30/05,10/31/05,11/30/05,12/31/05,1/31/06,2/28/06,3/31/06,4/30/06,5/31/06,6/30/06,7/31/06,8/31/06,9/30/06,10/31/06,11/30/06,12/31/06,1/31/07,2/28/07,3/31/07,4/30/07,5/31/07,6/30/07,7/31/07,8/31/07,9/30/07,10/31/07,11/30/07,12/31/07,1/31/08,2/29/08,3/31/08,4/30/08,5/31/08,6/30/08,7/31/08,8/31/08,9/30/08,10/31/08,11/30/08,12/31/08,1/31/09
3A Opportunity Fund (USD) B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.014357,0.015770582,-0.016786464,0.006468534,0.031733671,-0.010806423,-0.024749207,-0.00203972,0.014619239,-0.027515495,-0.007408137,0.027460733,-0.010511783,0.006120411,0.011474461,-0.01925275,-0.013293889,-0.000894971,-0.003907616,-0.007361847,0.01518129,0.020416851,-0.006467636,0.009227329,-0.022033885,0.02517636,-0.011700428,-0.032528983,-0.001179683,0.00975925,0.021322866,0.001794781,0.032728308,-0.006211043,0.016142736,0.029384067,0.033031626,0.004507474,0.013576619,0.030898625,-0.023280707,-0.006264081,0.002169677,-0.009712183,-0.007931768,0.018804959,0.022108114,0.013675424,0.004282661,0.004107921,0.00541656,0.008594807,0.020560321,0.00155761,-0.016388474,-0.041076528,0.038525482,0.000894504,-0.022408566,0.00929033,-0.030594143,0.015026492,-0.034518132,0.007430497,0.023499543,-0.017544997,-0.043043868,-0.034151214,-0.078240272,-0.11443334,-0.079103523,-0.015549225,0
Abraxas Fund,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00478,-0.008797946,-0.009799787,-0.007726784,-0.009728581,0.007543548,0.012034619,0.01356138,-0.002316525,-0.010208371,0.015571599,-0.012704355,0.05393195,0.026762989,-0.002795717,0.02295177,-0.007089153,-0.004756779,-0.001016918,-0.012354248,-0.010634809,-0.009925182,0.002353121,0.01789327,-0.006703355,0.008192698,-0.0084,-0.0086,-0.014303808,0.012598425,0.011497104,0.0118,-0.003133335,0.02469644,0.0161,0.014,0.0147,0.026285914,0.0565,0.0101,0.0048,-0.0084,-0.0034,8.03E-05,0.00088325,0.003,0.004719245,0.007403869,0.019914651,-0.004098791,-0.003353276,-0.00491,0.02606,0.00408,0.007,-0.0149,0.01986,0.0033,0.0172,-0.0041,0.0221,-0.0108,0.0175,-0.0369,0.0213,0.0474,0.0445,-0.0386,0.0553,0.0004,0.03425
Absolute Macro Diversified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0027,0.00681841,-0.036350961,0.020049607,0.024822695,0.03183391,-0.000574878,0.030486051,0.022978882,-0.037104402,0,0,0,0.037100491,-0.025209411,0.018684604,0.009812913,0.010989011,-0.00323392,0.00666907,0.025872874,0.015359106,0.012806188,0.014680923,-0.021159154,0.045454545,0.021984309,-0.027189124,-0.009782162,-0.008550556,0.022774847,-0.026033565,0.002689754,-0.012825887,-0.026324728,-0.014128728,-0.043701345,-0.056336725,-0.088520733,-0.023768552,0.014432081,0
Altea SICAV-SIF Global One A USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005493907,0.002480055,0.003770173,0.023560761,0.002427323,0.012858514,-0.014152881,0.009447781,0.027156271,-0.068756297,0.05821018,0.011752149,-0.010782779,-0.055826224,0.128681323,0.008806489,-0.003174404,0.043043305,-0.001175041,-9.05E-05,-0.07060184,-0.035099108,0.00325185,0.000156477,-0.002335613
Alternative Treasury Strategy LLC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0187,0.0181,0.0313,0.0422,0.0123,0.0164,0.0233,0.0044,-0.0143,0.0012,0.0144,0.009,0.0312,0.0094,-0.0029,0.0308,0.0027,0.017,0.0127,-0.0311,-0.0126,0.0108,-0.0004,0.011,0.0068,0.018,0.0055,0.0033,0.0018,0.019,0.0155,0.0121,-0.011,0.0336,0.0148,-0.0034,-0.0384,0.0003,-0.0255,-0.0108,-0.0004,0.0505,0.0342,0.0051,-0.0249,0.0009,0.0111,0.036,0.0043,0.0015,0.0011,-0.0074,0.015,0.0007,0.024,0.0141,-0.014,0.011,-0.0334,0.0353
AP Global Macro EUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0006,0.0066,-0.0099,0.0042,0.0144,0.0163,-0.0023,-0.0203,0.0782,0.0363,-0.0165,0.003,-0.0162,0.0004,-0.0366,-0.0015,-0.0004,0.0116,-0.0265,-0.0042,0.0275,-0.0019,-0.0073,0.0124,-0.0075
AP Global Macro USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0138,0.0241,0.0221,0.0049,-0.002,0.0118,-0.0025,0.0066,0.0132,0.011,-0.0072,-0.0176,0.062,0.0302,-0.0206,0.0029,-0.0123,0.0065,-0.0273,-0.0062,-0.0019,0.0151,-0.0298,-0.0209,0.0085,0.0024,-0.006,0.0124,-0.0075
Apeiron Global Macro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0246,0.0128,0.0974,0.0683,0.0227,0.014,-0.05,-0.0227,0.0018,0.0077,-0.0285,-0.0412,0.0104,0.0212,-0.0153,0.0008,0.0561,0.0939,0.0078,0.0345,-0.0189,0.0519,-0.0032,-0.0132,0.0128,0.0778,0.0011,-0.0197,-0.0017,0.0153,-0.0078,0.0722,0.0521,0.0012,-0.0043,0.0382
Argonaut Aggressive Global LP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00650554,0.019680993,-0.038974695,0.05568031,0.139162363,0.039716158,0.072332989,-0.003392061,0.023333886,0.005303253,0.013511233,-0.004778146,0.003497697,-0.001442567,0.004855681,0.008217461,0.006556818,-0.001547982,0.002511228,0.005638934,0.001414215,0.012536594,0.017591877,0.021896313,0.061070858,-0.048873283,-0.043455304,-0.009345201,0.029418321,-0.042897456,0.034594492,0.027353217,0.021091736,0.032847886,0.1583,-0.0307,0.002170633,0.108244614,0.022104246,0.0865,-0.117726782,0.081294365,0.0415,0.00875,0.031965,-0.0265,0.000599,-0.00805,-0.03,0.009949,-0.01009,0.0221,0.0385,0.0043,-0.0056,0.017,-0.0099,-0.0003,0.0314,0.0311,0.0075,0.0353,0.099,0.0051,0.0518,0.044,0.00616,0.00527,0.0392,0.0062,-0.0394,-0.001,-0.01,-0.013,-0.0217,0.0269,0.0176,0.0357,-0.0136,-0.036,-0.0158,0.0363,0.0473,0.0284,0.07,-0.0717,0.076,0.0385,0.01,-0.0055,-0.0104,0.0528,-0.0637,-0.0054,0.0089,-0.0026,-0.0403,-0.0332,0.0336,0.1176,0.0427,0.0179,0.0079
Argonaut Global Macro Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.047,0.1,0.0033,0.0501,0.0442,0.006,0.0016,0.037,0.0066,-0.0371,1.00E-06,-0.0137,-0.013,-0.0208,0.0265,0.0186,0.0353,-0.0149,-0.035,-0.0128,0.0345,0.0494,0.0288,0.067,-0.072,0.0754,0.0361,0.0092,-0.0051,-0.0104,0.0519,-0.0638,-0.0054,0.0082,-0.0036,-0.0397,-0.0369,0.0339,0.1237,0.0453,0.019,0.0095
