"Start",1998-01-01,"Start",1998-01-01,,,,,,,,,,,,,,,
"End",2010-10-05,"End",2010-10-05,,,,,,,,,,,,,,,
"Frequency","D","Frequency","D",,,,,,,,,,,,,,,
"Name","MSCI EUROPE EX UK - PRICE INDEX","EURO STOXX 50 - PRICE INDEX","FTSE 100 - PRICE INDEX","NIKKEI 225 STOCK AVERAGE - PRICE INDEX","TOPIX - PRICE INDEX","S&P 500 COMPOSITE - PRICE INDEX","MSCI EM U$ - PRICE INDEX","MSCI PACIFIC EX JP U$ - PRICE INDEX","MSCI EUROPE EX UK E - PRICE INDEX","INDIA BSE (SENSEX) 30 SENSITIVE - PRICE INDEX","BRAZIL BOVESPA - PRICE INDEX","FTSE XINHUA CHINA 25 INDEX - PRICE INDEX","SWISS MARKET - PRICE INDEX","SWISS PERFORMANCE - PRICE INDEX","IBEX 35 - PRICE INDEX","DAX 30 PERFORMANCE - PRICE INDEX","FRANCE CAC 40 - PRICE INDEX","OMX NORDIC 40 - PRICE INDEX"
"Code","MSEXUKL","DJES50I","FTSE100","JAPDOWA","TOKYOSE","S&PCOMP","MSEMKF$","MSPXJP$","MSEXUKE","IBOMSEN","BRBOVES","XINFTSE","SWISSMI","SITOTMK","IBEX35I","DAXINDX","FRCAC40","OMN40IX"
1998-01-01,777.886,2531.99,5135.5,15258.74,1175.03,970.43,412.465,565.568,,3694.62,10196,,6265.5,3898.15,7255.4,4249.69,2998.91,"#NA"
1998-01-02,787.894,2575,5193.5,15258.74,1175.03,975.04,412.247,558.563,,3719.85,10479,,6265.5,3898.15,7451.37,4315.37,3040.14,"#NA"
1998-01-05,802.515,2616.8,5262.5,14956.84,1166.63,977.07,409.143,544.699,,3739.21,10606,,6397,3972.64,7591.8,4384.81,3072.84,"#NA"
1998-01-06,797.292,2591.05,5264.4,14896.4,1160.65,966.58,396.955,532.097,,3719.62,10184,,6375.7,3965.26,7591.8,4352.63,3037.73,"#NA"
1998-01-07,796.359,2588.56,5224.1,15028.17,1163.79,964,389.505,517.596,,3683.31,9879,,6390,3972.97,7549,4391.54,3006.73,"#NA"
1998-01-08,787.945,2562.42,5237.1,15019.18,1163.2,956.05,377.244,502.703,,3598.16,9657,,6330.2,3934.81,7482.24,4347.23,2954.94,"#NA"
1998-01-09,776.643,2527.59,5138.3,14995.1,1149.19,927.69,364.961,489.903,,3530.2,9118,,6251.8,3893.94,7455.26,4236.94,2919.81,"#NA"
1998-01-12,756.27,2466.81,5068.8,14664.44,1120.61,939.21,352.753,459.008,,3395.04,9227,,6062.1,3781.36,7390.54,4087.28,2862.54,"#NA"
1998-01-13,768.185,2508.36,5083.9,14755.94,1121.62,952.12,362.126,484.054,,3431.72,9415,,6169.3,3840.5,7492.21,4159.4,2902.93,"#NA"
1998-01-14,773.878,2524.47,5106.9,15121.98,1149.11,957.94,368.639,506.235,,3400.79,9349,,6149.8,3832.87,7550.63,4190.08,2919.8,"#NA"
1998-01-15,774.353,2524.59,5165.8,15121.98,1149.11,950.73,363.418,491.131,,3365.75,9140,,6148.5,3825.94,7578.27,4148.34,2932.75,"#NA"
1998-01-16,784.351,2553.34,5263.1,16046.45,1201.71,961.51,371.369,507.422,,3382.32,9448,,6274,3891.12,7723.9,4184.46,2976.09,"#NA"
1998-01-19,791.826,2576.53,5273.6,16262.04,1231.46,961.51,382.606,532.732,,3480.86,9752,,6340.4,3932.35,7732.42,4284.94,2986.95,"#NA"
1998-01-20,796.622,2593.95,5278.2,16366.53,1232.89,978.6,379.742,530.315,,3455.95,9568,,6397.5,3963.05,7807.14,4307.91,3008.34,"#NA"
1998-01-21,795.121,2585.15,5272.3,16684.42,1244.92,970.81,375.706,523.019,,3418.34,9385,,6391.4,3965.05,7812.14,4282.84,2998.11,"#NA"
1998-01-22,789.794,2565.88,5253.1,16405.69,1237.25,963.04,370.913,507.266,,3380.3,9709,,6356.1,3946.96,7839.28,4220.25,2988.59,"#NA"
1998-01-23,787.356,2545.09,5181.4,16789.11,1250.11,957.59,366.437,506.658,,3351.21,9467,,6391,3968.6,7749.06,4237.31,2966.15,"#NA"
1998-01-26,790.976,2570.85,5237.2,17073.33,1290.07,956.95,368.649,512.328,,3351.21,9513,,6411,3978.33,7854,4224.78,3000.47,"#NA"
1998-01-27,798.32,2603.16,5326.3,16981.62,1293.62,969.02,372.004,518.331,,3276.21,9651,,6424,3983.27,7924.6,4278.76,3052.02,"#NA"
1998-01-28,809.88,2643.21,5372.6,16973.83,1293.96,977.46,372.115,522.438,,3209.55,9773,,6508.7,4033.91,7953.63,4391.02,3088.26,"#NA"
1998-01-29,814.667,2664.66,5422.4,17014.59,1284.59,985.49,372.516,523.326,,3224.36,9785,,6530.4,4047.06,7940.37,4419.38,3133.82,"#NA"
1998-01-30,820.546,2676.03,5458.5,16628.47,1267.51,980.28,379.797,529.16,,3224.36,9720,,6582.6,4078.41,7958.99,4440.38,3172.14,"#NA"
1998-02-02,829.892,2694.29,5599,16776.82,1262.09,1001.27,393.247,563.747,,3354.8,9973,,6688,4139.406,8096.72,4522.81,3187.5,"#NA"
1998-02-03,830.159,2698.07,5612.8,17022.98,1279.4,1006,400.454,574.736,,3354.88,10054,,6720.7,4162.707,8104.15,4532.52,3188.43,"#NA"
1998-02-04,827.328,2682.6,5595.8,16882.62,1270.18,1006.9,395.496,568.324,,3319.19,9971,,6708.9,4158.457,8166.46,4486.95,3166.26,"#NA"
1998-02-05,834.895,2708.33,5606.4,17003.3,1274.09,1003.54,400.803,576.122,,3357.48,9948,,6772,4191.68,8109.86,4548.46,3189.6,"#NA"
1998-02-06,838.62,2719.19,5629.7,17040.06,1278.11,1012.46,404.337,578.677,,3366.7,10010,,6857.1,4239.156,8182.49,4496.33,3216.66,"#NA"
1998-02-09,840.364,2724.07,5600.9,17205,1295.48,1010.74,405.923,590.877,,3348.35,10239,,6828.4,4244.199,8048.51,4563.55,3220.94,"#NA"
1998-02-10,840.258,2721.88,5613.3,17205.09,1300.3,1019.01,409.936,600.796,,3317.7,10278,,6860.8,4262.285,8084.85,4523.75,3235.76,"#NA"
