Start,1998-01-01,,,,,,,,,,
End,2009-10-13,,,,,,,,,,
Frequency,D,,,,,,,,,,
Name,CBOE SPX VOLATILITY VIX (NEW) - PRICE INDEX,VDAX-NEW VOLATILITY INDEX - PRICE INDEX,VSTOXX VOLATILITY INDEX - PRICE INDEX,VSTOXX VOLATILITY SUB-INDEX 1M - PRICE INDEX,VSTOXX VOLATILITY SUB-INDEX 2M - PRICE INDEX,VSTOXX VOLATILITY SUB-INDEX 3M - PRICE INDEX,VSTOXX VOLATILITY SUB-INDEX 6M - PRICE INDEX,VSTOXX VOLATILITY SUB-INDEX 9M - PRICE INDEX,VSTOXX VOLATILITY SUB-INDEX 12M - PRICE INDEX,VSTOXX VOLATILITY SUB-INDEX 18M - PRICE INDEX,VSTOXX VOLATILITY SUB-INDEX 24M - PRICE INDEX
Code,CBOEVIX,VDAXNEW,VSTOXXI,VSTOX1M,VSTOX2M,VSTOX3M,VSTOX1Q,VSTOX2Q,VSTOX3Q,VSTOX1H,VSTOX2H
1998-01-01,24.01,26.58,,,,,,,,,
1998-01-02,23.42,24.2,,,,,,,,,
1998-01-05,24.36,25.19,,,,,,,,,
1998-01-06,25.66,26.35,,,,,,,,,
1998-01-07,25.07,27.6,,,,,,,,,
1998-01-08,26.01,29.5,,,,,,,,,
1998-01-09,28.69,29.64,,,,,,,,,
1998-01-12,28.02,33.69,,,,,,,,,
1998-01-13,25.17,30.94,,,,,,,,,
1998-01-14,23.75,30.42,,,,,,,,,
1998-01-15,23.45,28.73,,,,,,,,,
1998-01-16,21.65,26.83,,,,,,,,,
1998-01-19,21.65,26.48,,,,,,,,,
1998-01-20,21.65,25.17,,,,,,,,,
1998-01-21,22.53,27.9,,,,,,,,,
1998-01-22,23.16,28.74,,,,,,,,,
1998-01-23,23.32,28.75,,,,,,,,,
1998-01-26,23.97,27.9,,,,,,,,,
1998-01-27,22.27,25.98,,,,,,,,,
1998-01-28,22.06,26.11,,,,,,,,,
1998-01-29,21.65,25.73,,,,,,,,,
1998-01-30,21.47,26.44,,,,,,,,,
1998-02-02,21.36,26.9,,,,,,,,,
1998-02-03,20.67,26.34,,,,,,,,,
1998-02-04,20.55,26.36,,,,,,,,,
1998-02-05,21.29,27.83,,,,,,,,,
1998-02-06,20.51,25.67,,,,,,,,,
1998-02-09,21.55,26.4,,,,,,,,,
1998-02-10,20.66,25.22,,,,,,,,,
1998-02-11,20.38,25.4,,,,,,,,,
1998-02-12,19.73,26.3,,,,,,,,,
1998-02-13,19.84,26.18,,,,,,,,,
1998-02-16,19.84,26.42,,,,,,,,,
1998-02-17,20.76,24.15,,,,,,,,,
1998-02-18,19.66,24.8,,,,,,,,,
1998-02-19,19.88,25,,,,,,,,,
1998-02-20,19,24.88,,,,,,,,,
1998-02-23,18.99,24.14,,,,,,,,,
1998-02-24,19.35,23.41,,,,,,,,,
1998-02-25,18.62,20.94,,,,,,,,,
1998-02-26,18.63,21.66,,,,,,,,,
1998-02-27,18.55,22.05,,,,,,,,,
1998-03-02,19.19,20.85,,,,,,,,,
1998-03-03,19.04,21.48,,,,,,,,,
1998-03-04,19.58,23.17,,,,,,,,,
1998-03-05,20.93,23.94,,,,,,,,,
1998-03-06,19.14,20.94,,,,,,,,,
1998-03-09,20.23,21.37,,,,,,,,,
1998-03-10,19.43,21.52,,,,,,,,,
1998-03-11,18.89,21.78,,,,,,,,,
1998-03-12,18.25,22.18,,,,,,,,,
1998-03-13,18.71,21.49,,,,,,,,,
1998-03-16,18.51,22.33,,,,,,,,,
1998-03-17,18.66,22.66,,,,,,,,,
1998-03-18,18.29,24.41,,,,,,,,,
1998-03-19,17.76,23.31,,,,,,,,,
1998-03-20,18.69,24.03,,,,,,,,,
1998-03-23,19.98,24.26,,,,,,,,,
1998-03-24,20.51,24.05,,,,,,,,,
1998-03-25,22.54,23.53,,,,,,,,,
1998-03-26,22.81,25.03,,,,,,,,,
1998-03-27,23.47,24.86,,,,,,,,,
1998-03-30,24.66,25.86,,,,,,,,,
1998-03-31,24.22,25.79,,,,,,,,,
1998-04-01,23.37,25.13,,,,,,,,,
1998-04-02,21.98,24.46,,,,,,,,,
1998-04-03,21.82,23.06,,,,,,,,,
1998-04-06,22.47,24.78,,,,,,,,,
1998-04-07,23.66,24.68,,,,,,,,,
1998-04-08,23.17,24.85,,,,,,,,,
1998-04-09,21.51,24.7,,,,,,,,,
1998-04-10,21.51,24.7,,,,,,,,,
1998-04-13,22.77,24.7,,,,,,,,,
1998-04-14,21.61,27.07,,,,,,,,,
1998-04-15,20.89,26.53,,,,,,,,,
1998-04-16,22.06,27.41,,,,,,,,,
1998-04-17,20.76,26.17,,,,,,,,,
1998-04-20,20.39,26.55,,,,,,,,,
1998-04-21,19.91,26.74,,,,,,,,,
1998-04-22,19.87,27.5,,,,,,,,,
1998-04-23,20.6,27.31,,,,,,,,,
1998-04-24,21.97,27.87,,,,,,,,,
1998-04-27,26.09,30.51,,,,,,,,,
1998-04-28,24.17,27.92,,,,,,,,,
1998-04-29,22.78,27.63,,,,,,,,,
1998-04-30,21.18,26.66,,,,,,,,,
1998-05-01,19.34,26.66,,,,,,,,,
1998-05-04,20.32,28,,,,,,,,,
1998-05-05,21.46,31.05,,,,,,,,,
1998-05-06,22.79,28.68,,,,,,,,,
1998-05-07,23.39,29.83,,,,,,,,,
1998-05-08,20.57,28.76,,,,,,,,,
1998-05-11,21.05,27.94,,,,,,,,,
1998-05-12,20.98,27.84,,,,,,,,,
1998-05-13,20.44,26.24,,,,,,,,,
1998-05-14,19.64,25.2,,,,,,,,,
1998-05-15,20.44,25.02,,,,,,,,,
1998-05-18,21.69,26.14,,,,,,,,,
1998-05-19,20.39,24.99,,,,,,,,,
1998-05-20,19.89,22.12,,,,,,,,,
1998-05-21,19.38,22.12,,,,,,,,,
1998-05-22,18.99,22.52,,,,,,,,,
1998-05-25,18.99,21.95,,,,,,,,,
1998-05-26,22.07,21.52,,,,,,,,,
1998-05-27,22.59,25.73,,,,,,,,,
1998-05-28,20.74,24.64,,,,,,,,,
1998-05-29,21.32,23.47,,,,,,,,,
1998-06-01,22.83,23.47,,,,,,,,,
1998-06-02,22,24.49,,,,,,,,,
1998-06-03,22.85,23.25,,,,,,,,,
1998-06-04,21.22,23.89,,,,,,,,,
1998-06-05,19.78,21.93,,,,,,,,,
1998-06-08,20.58,22.58,,,,,,,,,
1998-06-09,20.52,22.15,,,,,,,,,
1998-06-10,21.48,22.37,,,,,,,,,
1998-06-11,23.57,22.37,,,,,,,,,
1998-06-12,22.78,26.16,,,,,,,,,
1998-06-15,26.2,28.05,,,,,,,,,
1998-06-16,24.8,27.45,,,,,,,,,
1998-06-17,22.59,26.2,,,,,,,,,
1998-06-18,22.09,26.7,,,,,,,,,
1998-06-19,21.61,28.29,,,,,,,,,
1998-06-22,21.94,27.83,,,,,,,,,
1998-06-23,20.17,25.97,,,,,,,,,
1998-06-24,20.02,25.97,,,,,,,,,
1998-06-25,20.25,24.94,,,,,,,,,
1998-06-26,19.36,24.92,,,,,,,,,
1998-06-29,19.57,25.18,,,,,,,,,
1998-06-30,19.71,26.57,,,,,,,,,
1998-07-01,18,25.25,,,,,,,,,
1998-07-02,17.67,24.88,,,,,,,,,
1998-07-03,17.67,23.36,,,,,,,,,
1998-07-06,18.63,24.55,,,,,,,,,
1998-07-07,18.62,23.96,,,,,,,,,
1998-07-08,17.82,22.49,,,,,,,,,
1998-07-09,18.16,21.76,,,,,,,,,
1998-07-10,17.92,22.05,,,,,,,,,
1998-07-13,18.26,22.15,,,,,,,,,
1998-07-14,17.88,20.95,,,,,,,,,
1998-07-15,17.89,21.26,,,,,,,,,
1998-07-16,16.97,20.84,,,,,,,,,
1998-07-17,16.23,18.96,,,,,,,,,
1998-07-20,17.34,19.72,,,,,,,,,
1998-07-21,20.1,20.71,,,,,,,,,
1998-07-22,20.32,23.13,,,,,,,,,
1998-07-23,23.01,23.12,,,,,,,,,
1998-07-24,23.01,23.73,,,,,,,,,
1998-07-27,23.13,27.64,,,,,,,,,
1998-07-28,25.25,26.14,,,,,,,,,
1998-07-29,24.79,25.97,,,,,,,,,
1998-07-30,22.66,24.46,,,,,,,,,
1998-07-31,24.8,25,,,,,,,,,
1998-08-03,25.98,25.53,,,,,,,,,
1998-08-04,31.06,25.4,,,,,,,,,
1998-08-05,29.83,27.04,,,,,,,,,
1998-08-06,28.2,27.85,,,,,,,,,
1998-08-07,27.02,26.43,,,,,,,,,
1998-08-10,28.75,30.03,,,,,,,,,
1998-08-11,31.91,34.39,,,,,,,,,
1998-08-12,28.55,30.68,,,,,,,,,
1998-08-13,29.92,31.38,,,,,,,,,
1998-08-14,34.75,30.37,,,,,,,,,
1998-08-17,31.86,31.58,,,,,,,,,
1998-08-18,28.4,29.92,,,,,,,,,
1998-08-19,28.69,30.64,,,,,,,,,
1998-08-20,30,32.65,,,,,,,,,
1998-08-21,33.14,44.06,,,,,,,,,
1998-08-24,31.8,39.43,,,,,,,,,
1998-08-25,30.33,36.05,,,,,,,,,
1998-08-26,31.14,39.98,,,,,,,,,
1998-08-27,38.55,42.96,,,,,,,,,
1998-08-28,39.6,46.3,,,,,,,,,
1998-08-31,44.28,47.07,,,,,,,,,
1998-09-01,36.48,45.63,,,,,,,,,
1998-09-02,36.76,41.4,,,,,,,,,
1998-09-03,41.43,43.73,,,,,,,,,
1998-09-04,43.31,42.89,,,,,,,,,
1998-09-07,43.31,43.72,,,,,,,,,
1998-09-08,37.9,40.72,,,,,,,,,
1998-09-09,39.66,45.23,,,,,,,,,
1998-09-10,45.29,49.03,,,,,,,,,
1998-09-11,43.74,48.42,,,,,,,,,
1998-09-14,38.57,46.94,,,,,,,,,
1998-09-15,36.58,46.68,,,,,,,,,
1998-09-16,35.94,47.18,,,,,,,,,
1998-09-17,39.23,50.15,,,,,,,,,
1998-09-18,38.63,48.64,,,,,,,,,
1998-09-21,38.58,54.23,,,,,,,,,
1998-09-22,36.62,49.98,,,,,,,,,
1998-09-23,32.47,48.29,,,,,,,,,
1998-09-24,34.66,52.46,,,,,,,,,
1998-09-25,34.55,51.56,,,,,,,,,
1998-09-28,34.87,49.28,,,,,,,,,
1998-09-29,36.08,49.16,,,,,,,,,
