"","price"
"2005-10-17",14.3
"2005-11-14",11.94
"2005-12-19",11.11
"2006-01-16",11.32
"2006-02-13",12.65
"2006-03-20",11.5
"2006-04-17",12.61
"2006-05-15",13.17
"2006-06-19",16.99
"2006-07-17",17.35
"2006-08-14",13.95
"2006-09-18",11.88
"2006-10-16",10.62
"2006-11-13",10.59
"2006-12-18",10.56
"2007-01-15",10.66
"2007-02-12",11.36
"2007-03-19",14.32
"2007-04-16",11.67
"2007-05-14",13.34
"2007-06-18",13.41
"2007-07-16",15.67
"2007-08-20",26.34
"2007-09-17",25.37
"2007-10-15",19.17
"2007-11-19",25.61
"2007-12-17",23.75
"2008-01-14",23.36
"2008-02-15",26.07
"2008-03-17",30.57
"2008-04-14",23.84
"2008-05-19",16.64
"2008-06-16",20.86
"2008-07-14",28.03
"2008-08-18",20.66
"2008-09-15",28.84
"2008-10-20",52.31
"2008-11-17",67.95
"2008-12-15",55.7
"2009-01-19",49.65
"2009-02-16",43.6
"2009-03-16",43
"2009-04-13",37.05
"2009-05-18",29.85
"2009-06-15",30.2
"2009-07-20",24.55
"2009-08-17",27.6
"2009-09-14",23.85
"2009-10-19",21.4
"2009-11-16",23.4
"2009-12-14",21.1
"2010-01-18",19.65
"2010-02-15",24.45
"2010-03-15",18.1
"2010-04-19",17.4
"2010-05-17",30.3
"2010-06-14",28.55
"2010-07-19",26.8
"2010-08-16",26
"2010-09-13",21.7
"2010-10-18",19.85
"2010-11-15",19.75
"2010-12-20",16.75
"2011-01-17",16.25
"2011-02-14",16.45
"2011-03-14",21.7
"2011-04-18",17.3
"2011-05-16",18
"2011-06-13",19.55
"2011-07-18",21.15
"2011-08-15",32.1
"2011-09-19",33.7
"2011-10-17",34.2
