"","x"
"2005-10-18","14.57"
"2005-11-15","11.87"
"2005-12-20","11.15"
"2006-01-17","11.71"
"2006-02-14","11.95"
"2006-03-21","11.53"
"2006-04-18","11.48"
"2006-05-16","12.98"
"2006-06-20","16.94"
"2006-07-18","17.86"
"2006-08-15","13.23"
"2006-09-19","11.82"
"2006-10-17","11.23"
"2006-11-14","10.25"
"2006-12-19","10.57"
"2007-01-16","10.59"
"2007-02-13","10.43"
"2007-03-20","13.06"
"2007-04-17","11.87"
"2007-05-15","13.96"
"2007-06-19","12.88"
"2007-07-17","15.57"
"2007-08-21","25.24"
"2007-09-18","20.18"
"2007-10-16","20.03"
"2007-11-20","25.08"
"2007-12-18","22.55"
"2008-01-15","24.04"
"2008-02-15","26.07"
"2008-03-18","25.95"
"2008-04-15","22.87"
"2008-05-20","17.37"
"2008-06-17","21.05"
"2008-07-15","28.43"
"2008-08-19","21"
"2008-09-16","29.68"
"2008-10-21","52.8"
"2008-11-18","67.04"
"2008-12-16","52.44"
"2009-01-20","57.9"
"2009-02-17","48"
"2009-03-17","40.05"
"2009-04-14","37.85"
"2009-05-19","28.5"
"2009-06-16","31.85"
"2009-07-21","24.05"
"2009-08-18","26.35"
"2009-09-15","23.5"
"2009-10-20","21.1"
"2009-11-17","22.55"
"2009-12-15","21.35"
"2010-01-19","17.85"
"2010-02-16","22.6"
"2010-03-16","17.45"
"2010-04-20","16"
"2010-05-18","32.7"
"2010-06-15","25.85"
"2010-07-20","24.4"
"2010-08-17","24.35"
"2010-09-14","21.7"
"2010-10-19","20.95"
"2010-11-16","22.25"
"2010-12-21","16.75"
"2011-01-18","15.9"
"2011-02-15","16.7"
"2011-03-15","24.6"
"2011-04-19","16"
"2011-05-17","17.75"
"2011-06-14","18.2"
"2011-07-19","19.25"
"2011-08-16","33.65"
"2011-09-20","33.5"
"2011-10-18","32.15"
"2011-11-15",NA
"2011-12-21",NA
"2012-01-17",NA
"2012-02-14",NA
