"","x"
"2005-10-19","15.17"
"2005-11-16","12.31"
"2005-12-21","10.17"
"2006-01-18","12.61"
"2006-02-15","12.04"
"2006-03-22","11.14"
"2006-04-19","11.94"
"2006-05-17","14.02"
"2006-06-21","17.28"
"2006-07-19","17"
"2006-08-16","12.28"
"2006-09-20","11.29"
"2006-10-18","11.43"
"2006-11-15","10.27"
"2006-12-20","10.05"
"2007-01-17","10.71"
"2007-02-14","9.95"
"2007-03-21","12.98"
"2007-04-18","12.03"
"2007-05-16","13.63"
"2007-06-20","13.01"
"2007-07-18","16.87"
"2007-08-22","25.05"
"2007-09-19","20.29"
"2007-10-17","18.33"
"2007-11-21","26.7"
"2007-12-19","22.08"
"2008-01-16","24.18"
"2008-02-18","26.07"
"2008-03-19","25.67"
"2008-04-16","21.78"
"2008-05-21","17.16"
"2008-06-18","21.54"
"2008-07-16","28.4"
"2008-08-20","20.83"
"2008-09-17","31.54"
"2008-10-22","63.04"
"2008-11-19","67.22"
"2008-12-17","51.29"
"2009-01-21","49.88"
"2009-02-18","48.4"
"2009-03-18","40.62"
"2009-04-15","38.2"
"2009-05-20","27.04"
"2009-06-17","31.03"
"2009-07-22","23.48"
"2009-08-19","28.76"
"2009-09-16","23.64"
"2009-10-21","20.82"
"2009-11-18","22.54"
"2009-12-16","20.84"
"2010-01-20","18.87"
"2010-02-17","22.5"
"2010-03-17","16.68"
"2010-04-21","15.8"
"2010-05-19","34.53"
"2010-06-16","26.11"
"2010-07-21","23.79"
"2010-08-18","24.82"
"2010-09-15","22.97"
"2010-10-20","21.41"
"2010-11-17","22.21"
"2010-12-22","16.01"
"2011-01-19","16.38"
"2011-02-16","16.49"
"2011-03-16","25.14"
"2011-04-20","14.86"
"2011-05-18","18.02"
"2011-06-15","19.73"
"2011-07-20","19.1"
"2011-08-17","32.73"
"2011-09-21","33.72"
"2011-10-19","33.15"
"2011-11-16",NA
"2011-12-22",NA
"2012-01-18",NA
"2012-02-15",NA
