"","Date","Price1","Price2","Switch"
"1","2004-03-26","NA","NA",0
"2","2004-03-29","NA","NA",0
"3","2004-03-30","NA","NA",0
"4","2004-03-31","NA","NA",0
"5","2004-04-01","NA","NA",0
"6","2004-04-02","NA","NA",0
"7","2004-04-05","NA","NA",0
"8","2004-04-06","NA","NA",0
"9","2004-04-07","NA","NA",0
"10","2004-04-08","NA","NA",0
"11","2004-04-09","NA","NA",0
"12","2004-04-12","NA","NA",0
"13","2004-04-13","NA","NA",0
"14","2004-04-14","NA","NA",0
"15","2004-04-15","NA","NA",0
"16","2004-04-16","NA","NA",0
"17","2004-04-19","NA","NA",0
"18","2004-04-20","NA","NA",0
"19","2004-04-21","NA","NA",0
"20","2004-04-22","NA","NA",0
"21","2004-04-23","NA","NA",0
"22","2004-04-26","NA","NA",0
"23","2004-04-27","NA","NA",0
"24","2004-04-28","NA","NA",0
"25","2004-04-29","NA","NA",0
"26","2004-04-30","NA","NA",0
"27","2004-05-03","NA","NA",0
"28","2004-05-04","NA","NA",0
"29","2004-05-05","NA","NA",0
"30","2004-05-06","NA","NA",0
"31","2004-05-07","NA","NA",0
"32","2004-05-10","NA","NA",0
"33","2004-05-11","NA","NA",0
"34","2004-05-12","NA","NA",0
"35","2004-05-13","NA","NA",0
"36","2004-05-14","NA","NA",0
"37","2004-05-17","NA","NA",0
"38","2004-05-18","NA","NA",0
"39","2004-05-19","NA","NA",0
"40","2004-05-20","NA","NA",0
"41","2004-05-21","NA","NA",0
"42","2004-05-24","NA","NA",0
"43","2004-05-25","NA","NA",0
"44","2004-05-26","NA","NA",0
"45","2004-05-27","NA","NA",0
"46","2004-05-28","NA","NA",0
"47","2004-05-31","NA","NA",0
"48","2004-06-01","NA","NA",0
"49","2004-06-02","NA","NA",0
"50","2004-06-03","NA","NA",0
"51","2004-06-04","NA","NA",0
"52","2004-06-07","NA","NA",0
"53","2004-06-08","NA","NA",0
"54","2004-06-09","NA","NA",0
"55","2004-06-10","NA","NA",0
"56","2004-06-11","NA","NA",0
"57","2004-06-14","NA","NA",0
"58","2004-06-15","NA","NA",0
"59","2004-06-16","NA","NA",0
"60","2004-06-17","NA","NA",0
"61","2004-06-18","NA","NA",0
"62","2004-06-21","NA","NA",0
"63","2004-06-22","NA","NA",0
"64","2004-06-23","NA","NA",0
"65","2004-06-24","NA","NA",0
"66","2004-06-25","NA","NA",0
"67","2004-06-28","NA","NA",0
"68","2004-06-29","NA","NA",0
"69","2004-06-30","NA","NA",0
"70","2004-07-01","NA","NA",0
"71","2004-07-02","NA","NA",0
"72","2004-07-05","NA","NA",0
"73","2004-07-06","NA","NA",0
"74","2004-07-07","NA","NA",0
"75","2004-07-08","NA","NA",0
"76","2004-07-09","NA","NA",0
"77","2004-07-12","NA","NA",0
"78","2004-07-13","NA","NA",0
"79","2004-07-14","NA","NA",0
"80","2004-07-15","NA","NA",0
"81","2004-07-16","NA","NA",0
"82","2004-07-19","NA","NA",0
"83","2004-07-20","NA","NA",0
"84","2004-07-21","NA","NA",0
"85","2004-07-22","NA","NA",0
"86","2004-07-23","NA","NA",0
"87","2004-07-26","NA","NA",0
"88","2004-07-27","NA","NA",0
"89","2004-07-28","NA","NA",0
"90","2004-07-29","NA","NA",0
"91","2004-07-30","NA","NA",0
"92","2004-08-02","NA","NA",0
"93","2004-08-03","NA","NA",0
"94","2004-08-04","NA","NA",0
"95","2004-08-05","NA","NA",0
"96","2004-08-06","NA","NA",0
"97","2004-08-09","NA","NA",0
"98","2004-08-10","NA","NA",0
"99","2004-08-11","NA","NA",0
"100","2004-08-12","NA","NA",0
"101","2004-08-13","NA","NA",0
"102","2004-08-16","NA","NA",0
"103","2004-08-17","NA","NA",0
"104","2004-08-18","NA","NA",0
"105","2004-08-19","NA","NA",0
"106","2004-08-20","NA","NA",0
"107","2004-08-23","NA","NA",0
"108","2004-08-24","NA","NA",0
"109","2004-08-25","NA","NA",0
"110","2004-08-26","NA","NA",0
"111","2004-08-27","NA","NA",0
"112","2004-08-30","NA","NA",0
"113","2004-08-31","NA","NA",0
