"","CBOEVIX"
"2005-10-18",15.33
"2005-11-15",12.23
"2005-12-20",11.19
"2006-01-17",11.91
"2006-02-14",12.25
"2006-03-21",11.62
"2006-04-18",11.4
"2006-05-16",13.35
"2006-06-20",16.69
"2006-07-18",17.74
"2006-08-15",13.42
"2006-09-19",11.98
"2006-10-17",11.73
"2006-11-14",10.5
"2006-12-19",10.3
"2007-01-16",10.74
"2007-02-13",10.34
"2007-03-20",13.27
"2007-04-17",12.14
"2007-05-15",14.01
"2007-06-19",12.85
"2007-07-17",15.63
"2007-08-21",25.25
"2007-09-18",20.35
"2007-10-16",20.02
"2007-11-20",24.88
"2007-12-18",22.64
"2008-01-15",23.34
"2008-02-15",25.02
"2008-03-18",25.79
"2008-04-15",22.78
"2008-05-20",17.58
"2008-06-17",21.13
"2008-07-15",28.54
"2008-08-19",21.28
"2008-09-16",30.3
"2008-10-21",53.11
"2008-11-18",67.64
"2008-12-16",52.37
"2009-01-20",56.65
"2009-02-17",48.66
"2009-03-17",40.8
"2009-04-14",37.67
"2009-05-19",28.8
"2009-06-16",32.68
"2009-07-21",23.87
"2009-08-18",26.18
"2009-09-15",23.42
"2009-10-20",20.9
"2009-11-17",22.41
"2009-12-15",21.49
"2010-01-19",17.58
"2010-02-16",22.25
"2010-03-16",17.69
"2010-04-20",15.73
"2010-05-18",33.55
"2010-06-15",25.87
"2010-07-20",23.93
"2010-08-17",24.33
"2010-09-14",21.56
"2010-10-19",20.63
"2010-11-16",22.58
"2010-12-21",16.49
"2011-01-18",15.87
"2011-02-15",16.37
"2011-03-15",24.32
"2011-04-19",15.83
"2011-05-17",17.55
"2011-06-14",18.26
"2011-07-19",19.21
"2011-08-16",32.85
"2011-09-20",32.86
"2011-10-18",31.56
"2011-11-15",NA
"2011-12-21",NA
"2012-01-17",NA
"2012-02-14",NA
