"Date",2011-06-13,,,
"LTDT","STDT","TCYCLE","FUTBDATE","FUTLTIME"
2012-01-17,2012-01-18,"ALL",2011-05-24,2011-06-13
2011-12-21,2011-12-22,"ALL",2011-04-25,2011-06-13
2011-11-15,2011-11-16,"ALL",2011-03-21,2011-06-13
2011-10-18,2011-10-19,"ALL",2011-02-22,2011-06-13
2011-09-20,2011-09-21,"ALL",2011-01-24,2011-06-13
2011-08-16,2011-08-17,"ALL",2010-12-27,2011-06-13
2011-07-19,2011-07-20,"ALL",2010-11-22,2011-06-13
2011-06-14,2011-06-15,"ALL",2010-10-25,2011-06-13
2011-05-17,2011-05-18,"ALL",2010-09-20,2011-05-18
2011-04-19,2011-04-20,"ALL",2010-08-23,2011-04-20
2011-03-15,2011-03-16,"ALL",2010-07-26,2011-03-16
2011-02-15,2011-02-16,"ALL",2010-06-21,2011-02-16
2011-01-18,2011-01-19,"ALL",2010-05-24,2011-01-19
2010-12-21,2010-12-22,"ALL",2010-04-26,2010-12-22
2010-11-16,2010-11-17,"ALL",2010-04-05,2010-11-17
2010-10-19,2010-10-20,"ALL",2010-02-22,2010-10-20
2010-09-14,2010-09-15,"ALL",2010-01-25,2010-09-15
2010-08-17,2010-08-18,"ALL",2009-12-21,2010-08-18
2010-07-20,2010-07-21,"ALL",2009-11-23,2010-07-21
2010-06-15,2010-06-16,"ALL",2009-10-22,2010-06-16
2010-05-18,2010-05-19,"ALL",2009-09-21,2010-05-19
2010-04-20,2010-04-21,"ALL",2009-09-14,2010-04-21
2010-03-16,2010-03-17,"ALL",2009-08-19,2010-03-17
2010-02-16,2010-02-17,"ALL",2009-07-22,2010-02-17
2010-01-19,2010-01-20,"ALL",2009-06-17,2010-01-20
2009-12-15,2009-12-16,"ALL",2009-05-20,2009-12-16
2009-11-17,2009-11-18,"ALL",2009-01-22,2009-11-18
2009-10-20,2009-10-21,"ALL",2008-12-22,2009-10-21
2009-09-15,2009-09-16,"ALL",2008-11-24,2009-09-16
2009-08-18,2009-08-19,"ALL",2008-10-23,2009-08-19
2009-07-21,2009-07-22,"ALL",2008-07-21,2009-07-22
2009-06-16,2009-06-17,"ALL",2008-08-28,2009-06-17
2009-05-19,2009-05-20,"ALL",2008-07-29,2009-05-20
2009-04-14,2009-04-15,"ALL",2008-06-23,2009-04-15
2009-03-17,2009-03-18,"ALL",2008-05-22,2009-03-18
2009-02-17,2009-02-18,"ALL",2008-02-20,2009-02-18
2009-01-20,2009-01-21,"ALL",2008-04-22,2009-01-21
2008-12-16,2008-12-17,"ALL",2008-01-22,2008-12-17
2008-11-18,2008-11-19,"ALL",2007-11-23,2008-11-19
2008-10-21,2008-10-22,"ALL",2008-04-21,2008-10-22
2008-09-16,2008-09-17,"ALL",2008-03-24,2008-09-17
2008-08-19,2008-08-20,"ALL",2007-08-23,2008-08-20
2008-07-15,2008-07-16,"ALL",2007-12-24,2008-07-16
2008-06-17,2008-06-18,"ALL",2007-06-21,2008-06-18
2008-05-20,2008-05-21,"ALL",2006-04-24,2008-05-21
2008-04-15,2008-04-16,"ALL",2007-10-22,2008-04-16
2008-03-18,2008-03-19,"ALL",2007-09-24,2008-03-19
2008-02-15,2008-02-18,"ALL",2007-02-20,2008-02-19
2008-01-15,2008-01-16,"ALL",2007-07-23,2008-01-16
2007-12-18,2007-12-19,"ALL",2007-05-21,2007-12-19
2007-11-20,2007-11-21,"ALL",2006-11-21,2007-11-21
2007-10-16,2007-10-17,"ALL",2007-04-23,2007-10-17
2007-09-18,2007-09-19,"ALL",2007-03-26,2007-09-19
2007-08-21,2007-08-22,"ALL",2006-06-21,2007-08-22
2007-07-17,2007-07-18,"ALL",2007-01-22,2007-07-18
2007-06-19,2007-06-20,"ALL",2006-11-20,2007-06-20
2007-05-15,2007-05-16,"ALL",2006-03-23,2007-05-16
2007-04-17,2007-04-18,"ALL",2006-10-23,2007-04-18
2007-03-20,2007-03-21,"ALL",2006-10-23,2007-03-21
2007-02-13,2007-02-14,"ALL",2006-03-09,2007-02-14
2007-01-16,2007-01-17,"ALL",2006-10-23,2007-01-17
2006-12-19,2006-12-20,"ALL",2006-09-21,2006-12-20
2006-11-14,2006-11-15,"ALL",2006-03-09,2006-11-15
2006-10-17,2006-10-18,"ALL",2006-08-21,2006-10-18
2006-09-19,2006-09-20,"ALL",2006-07-24,2006-09-20
2006-08-15,2006-08-16,"ALL",2005-12-22,2006-08-16
2006-07-18,2006-07-19,"ALL",2006-05-22,2006-07-19
2006-06-20,2006-06-21,"ALL",2006-04-24,2006-06-21
2006-05-16,2006-05-17,"ALL",2005-08-22,2006-05-17
2006-04-18,2006-04-19,"ALL",2006-02-21,2006-04-19
2006-03-21,2006-03-22,"ALL",2006-01-23,2006-03-22
2006-02-14,2006-02-15,"ALL",2005-05-23,2006-02-15
2006-01-17,2006-01-18,"ALL",2005-11-21,2006-01-18
2005-12-20,2005-12-21,"ALL",2005-10-24,2005-12-21
2005-11-15,2005-11-16,"ALL",2005-02-22,2005-11-16
2005-10-18,2005-10-19,"ALL",2005-06-20,2005-10-19
2005-08-16,2005-08-17,"ALL",2004-11-22,2005-08-17
2005-06-14,2005-06-15,"ALL",2005-03-21,2005-06-15
2005-05-17,2005-05-18,"ALL",2004-09-20,2005-05-18
2005-03-15,2005-03-16,"ALL",2005-01-24,2005-03-16
2005-02-15,2005-02-16,"ALL",2004-06-21,2005-02-16
2005-01-18,2005-01-19,"ALL",2004-10-21,2005-01-19
2004-11-16,2004-11-17,"ALL",2004-03-26,2004-11-17
2004-10-12,2004-10-13,"ALL",2004-08-23,2004-10-13
2004-09-14,2004-09-15,"ALL",2004-07-19,2004-09-15
2004-08-17,2004-08-18,"ALL",2004-03-26,2004-08-18
2004-07-13,2004-07-14,"ALL",2004-05-24,2004-07-14
2004-06-15,2004-06-16,"ALL",2004-03-26,2004-06-16
2004-05-18,2004-05-19,"ALL",2004-03-26,2004-05-19
