"","priceNextContract"
"2005-10-18",14.83
"2005-11-15",12.8
"2005-12-20",12.76
"2006-01-17",13.09
"2006-02-14",12.93
"2006-03-21",12.62
"2006-04-18",12.62
"2006-05-16",13.11
"2006-06-20",16.62
"2006-07-18",16.7
"2006-08-15",14.93
"2006-09-19",13.86
"2006-10-17",12.65
"2006-11-14",11.72
"2006-12-19",12.39
"2007-01-16",11.9
"2007-02-13",11.99
"2007-03-20",14.38
"2007-04-17",13.14
"2007-05-15",14.2
"2007-06-19",14.18
"2007-07-17",16.84
"2007-08-21",23.85
"2007-09-18",21.39
"2007-10-16",21.33
"2007-11-20",26.18
"2007-12-18",24.57
"2008-01-15",25.24
"2008-02-15",25.93
"2008-03-18",26.2
"2008-04-15",24.41
"2008-05-20",20.82
"2008-06-17",22.68
"2008-07-15",26.12
"2008-08-19",22.93
"2008-09-16",25.17
"2008-10-21",43.8
"2008-11-18",57.29
"2008-12-16",52.25
"2009-01-20",54.66
"2009-02-17",44.05
"2009-03-17",41.3
"2009-04-14",39.6
"2009-05-19",30.4
"2009-06-16",32.4
"2009-07-21",27.85
"2009-08-18",29.25
"2009-09-15",27.15
"2009-10-20",24.55
"2009-11-17",25.35
"2009-12-15",25.25
"2010-01-19",21.55
"2010-02-16",23.6
"2010-03-16",20.9
"2010-04-20",18.6
"2010-05-18",30.95
"2010-06-15",28.55
"2010-07-20",28.5
"2010-08-17",29.45
"2010-09-14",25.7
"2010-10-19",23.85
"2010-11-16",22.8
"2010-12-21",19.25
"2011-01-18",17.85
"2011-02-15",18.05
"2011-03-15",23.45
"2011-04-19",19.1
