"","CBOEVIX"
"2005-10-19",13.5
"2005-11-16",12.26
"2005-12-21",10.81
"2006-01-18",12.25
"2006-02-15",12.31
"2006-03-22",11.21
"2006-04-19",11.32
"2006-05-17",16.26
"2006-06-21",15.52
"2006-07-19",15.55
"2006-08-16",12.41
"2006-09-20",11.39
"2006-10-18",11.34
"2006-11-15",10.31
"2006-12-20",10.26
"2007-01-17",10.59
"2007-02-14",10.23
"2007-03-21",12.19
"2007-04-18",12.42
"2007-05-16",13.5
"2007-06-20",14.67
"2007-07-18",16
"2007-08-22",22.89
"2007-09-19",20.03
"2007-10-17",18.54
"2007-11-21",26.84
"2007-12-19",21.68
"2008-01-16",24.38
"2008-02-18",25.02
"2008-03-19",29.84
"2008-04-16",20.53
"2008-05-21",18.59
"2008-06-18",22.24
"2008-07-16",25.1
"2008-08-20",20.42
"2008-09-17",36.22
"2008-10-22",69.65
"2008-11-19",74.26
"2008-12-17",49.84
"2009-01-21",46.42
"2009-02-18",48.46
"2009-03-18",40.06
"2009-04-15",36.17
"2009-05-20",29.03
"2009-06-17",31.54
"2009-07-22",23.47
"2009-08-19",26.26
"2009-09-16",23.69
"2009-10-21",22.22
"2009-11-18",21.63
"2009-12-16",20.54
"2010-01-20",18.68
"2010-02-17",21.72
"2010-03-17",16.91
"2010-04-21",16.32
"2010-05-19",35.32
"2010-06-16",25.92
"2010-07-21",25.64
"2010-08-18",24.59
"2010-09-15",22.1
"2010-10-20",19.79
"2010-11-17",21.76
"2010-12-22",15.45
"2011-01-19",17.31
"2011-02-16",16.72
"2011-03-16",29.4
"2011-04-20",15.07
"2011-05-18",16.23
