Date,OPEN,HIGH,LOW,LAST_PRICE
2011-04-12 15:30:00,17.58,17.68,17.4,17.43
2011-04-12 15:40:00,17.42,17.42,17.25,17.32
2011-04-12 15:50:00,17.32,17.71,17.29,17.68
2011-04-12 16:00:00,17.67,17.94,17.66,17.93
2011-04-12 16:10:00,17.94,18.06,17.86,17.96
2011-04-12 16:20:00,17.98,18.21,17.98,18
2011-04-12 16:30:00,18,18.28,17.99,18.27
2011-04-12 16:40:00,18.24,18.31,18.08,18.3
2011-04-12 16:50:00,18.3,18.46,18.25,18.45
2011-04-12 17:00:00,18.46,18.46,18.4,18.41
2011-04-12 17:10:00,18.41,18.42,18.23,18.29
2011-04-12 17:20:00,18.29,18.31,18.27,18.27
2011-04-12 17:30:00,18.25,18.25,18,18.03
2011-04-12 17:40:00,18.03,18.03,17.95,17.95
2011-04-12 17:50:00,17.95,17.95,17.88,17.88
2011-04-12 18:00:00,17.88,17.88,17.82,17.83
2011-04-12 18:10:00,17.84,17.84,17.66,17.66
2011-04-12 18:20:00,17.66,17.66,17.56,17.56
2011-04-12 18:30:00,17.56,17.58,17.55,17.56
2011-04-12 18:40:00,17.56,17.58,17.34,17.44
2011-04-12 18:50:00,17.47,17.6,17.47,17.58
2011-04-12 19:00:00,17.58,17.69,17.56,17.69
2011-04-12 19:10:00,17.69,17.72,17.67,17.7
2011-04-12 19:20:00,17.7,17.76,17.64,17.64
2011-04-12 19:30:00,17.61,17.61,17.52,17.56
2011-04-12 19:40:00,17.57,17.75,17.44,17.44
2011-04-12 19:50:00,17.44,17.44,17.13,17.13
2011-04-12 20:00:00,17.2,17.2,16.89,16.91
2011-04-12 20:10:00,16.91,17.03,16.88,17.03
2011-04-12 20:20:00,17.03,17.03,16.9,16.9
2011-04-12 20:30:00,16.9,17.04,16.9,17.03
2011-04-12 20:40:00,17.03,17.14,17,17.13
2011-04-12 20:50:00,17.12,17.13,17.09,17.11
2011-04-12 21:00:00,17.11,17.12,17.07,17.08
2011-04-12 21:10:00,17.08,17.11,17.07,17.11
2011-04-12 21:20:00,17.13,17.48,17.13,17.45
2011-04-12 21:30:00,17.46,17.53,17.45,17.5
2011-04-12 21:40:00,17.5,17.5,17.41,17.45
2011-04-12 21:50:00,17.43,17.43,17.23,17.23
2011-04-12 22:00:00,17.22,17.31,17.22,17.31
2011-04-12 22:10:00,17.29,17.31,17.09,17.09
2011-04-13 15:30:00,16.33,16.4,16.25,16.28
2011-04-13 15:40:00,16.28,16.4,16.2,16.3
2011-04-13 15:50:00,16.3,16.72,16.3,16.72
2011-04-13 16:00:00,16.74,16.81,16.69,16.8
2011-04-13 16:10:00,16.79,16.94,16.77,16.93
2011-04-13 16:20:00,16.93,16.93,16.72,16.72
2011-04-13 16:30:00,16.72,16.76,16.7,16.73
2011-04-13 16:40:00,16.73,16.75,16.54,16.54
