
FINAL POINT:

  INDEX                X(INDEX)
      1  0.0000000000000000D+00
      2  3.4187376315309419D-10
      3  0.0000000000000000D+00
      4 -6.8202916600605233D-09
      5  0.0000000000000000D+00
      6  0.0000000000000000D+00
      7  2.0000000000000001D-01
      8 -8.0689699918630985D-09
      9 -1.0002397934464214D-08
     10  7.8077799519067376D-02
     11 -1.1165767909422129D-08
     12 -1.5740976193443479D-08
     13  2.2309356700612359D-09
     14 -1.1439043673561008D-09
     15 -8.6443982039248685D-09
     16 -2.1890382685929956D-09
     17  3.7212312836662534D-09
     18  2.0214681386228634D-09
     19  0.0000000000000000D+00
     20  6.1594266855482020D-02
     21  1.0000000000000001D-01
     22  0.0000000000000000D+00
     23  5.0000005977290055D-02
     24  0.0000000000000000D+00
     25  0.0000000000000000D+00
     26  5.0000000000000003D-02
     27  0.0000000000000000D+00
     28  0.0000000000000000D+00
     29  0.0000000000000000D+00
     30  3.0000013997341184D-02
     31  0.0000000000000000D+00
     32  1.1253792877001373D-09
     33  1.4260175007420134D-02
     34 -1.7321395569802058D-08
     35  1.4814999526138658D-09
     36 -7.3192265958717173D-09
     37  1.2479601972044152D-01
     38  1.0943846451529463D-02
     39  4.8209960824548186D-09
     40  4.0328061294428383D-02
     41  1.0000000000000000D-02
     42  1.0000000000000000D-02
     43  1.0000000000000000D-02
     44  1.0000000000000000D-02
     45  0.0000000000000000D+00
     46  0.0000000000000000D+00
     47  0.0000000000000000D+00
     48 -4.9075064055707214D-08
     49 -6.4030761840413391D-08

FINAL ESTIMATION OF THE LAGRANGE MULTIPLIERS: 

  INDEX           LAMBDA(INDEX)
      1 -1.5783611515855153D-02
      2 -6.5638149585561025D-06
      3  2.2647488835924007D-04
      4 -1.7061843297161236D-05
      5 -1.3721761666523854D-04
      6 -2.9477748250548758D-04
      7 -3.5686364693243423D-04
      8 -1.9741680843201462D-04
      9 -2.7997328477825527D-04
     10 -4.9548857376344418D-04
     11  1.7044846181861486D-04
     12 -2.8267026736710231D-04
     13 -6.1843659224299559D-06
     14 -5.2184322424201799D-04
     15  7.5676267612237016D-06
     16  3.5257037692179675D-04
     17 -3.2789602360252639D-04
     18  1.0613061532178186D-03
     19  6.2875716876209502D-03
     20  5.8754913375168851D-03
     21  1.4976771272157130D-04
     22  0.0000000000000000D+00
     23  0.0000000000000000D+00
     24  0.0000000000000000D+00
     25  0.0000000000000000D+00
     26  0.0000000000000000D+00
     27  0.0000000000000000D+00
     28  0.0000000000000000D+00
     29  0.0000000000000000D+00
     30  0.0000000000000000D+00
     31  0.0000000000000000D+00
     32  0.0000000000000000D+00
     33  0.0000000000000000D+00
     34  9.9223805346565662D-05
     35  1.3680227501854271D-04
     36  9.1624803469358973D-05
     37  3.4139425428916792D-04
     38  5.1597221104975055D-04
     39  1.5889493351609052D-03
     40  0.0000000000000000D+00
