Categoria,Moneta,Nome,Quantita,Valore EUR
Azioni e simili,AUD,CLEAN SEAS FPO,400000,32503.0919041865
Azioni e simili,CAD,CAMECO CORP,4000,86823.0822534017
Azioni e simili,CAD,ISHARESS&P,7918,102469.530506873
Azioni e simili,CAD,POWER FINANCIAL CORP.,3857,79596.0022303281
Azioni e simili,CAD,Toronto Dominion Common Stock,3082,163140.982165587
Azioni e simili,CHF,ABB LTD,7217,116007.562762332
Azioni e simili,CHF,Actelion LTD,1500,59244.3011565337
Azioni e simili,CHF,Areca Val Discov A,1958.67,163142.07233525
Azioni e simili,CHF,CITRON I,2500,55890.8501476733
Azioni e simili,CHF,COSMO N,12000,162307.028828843
Azioni e simili,CHF,CQ XMTCH ON SMI,500,24010.7092234405
Azioni e simili,CHF,Credit Suisse Group Na,3000,95327.4340118716
Azioni e simili,CHF,HBM N,1000,30553.6647473947
Azioni e simili,CHF,ISHARES DJ Euro Stoxx 50 CHF,18500,527192.307046267
Azioni e simili,CHF,JB PHYSICAL GOLD (CHF) A,70,80125.1227717045
Azioni e simili,CHF,Lagerhäuser der Centralschweiz, Baden,6,108651.812687077
Azioni e simili,CHF,Nestle Na,33053,1289457.46841187
Azioni e simili,CHF,NEW VENTURE I,10000,29063.2420767901
Azioni e simili,CHF,Novartis Na,6699,283305.689222043
Azioni e simili,CHF,Roche Holding Gs,7000,721960.741640879
Azioni e simili,CHF,Schweiz. Rueck Na,3000,106550.316721524
Azioni e simili,CHF,Swatch Group I.,3000,822713.314173751
Azioni e simili,CHF,UBS AG Na,8500,110026.72760071
Azioni e simili,CHF,ZKB Gold ETF,50,154563.165238049
Azioni e simili,CHF,ZKB PLATINUM ETF,75,144565.037357966
Azioni e simili,EUR,ALLIANZ AG,1800,157068
Azioni e simili,EUR,Anheuser Busch InBev,3450,155146.5
Azioni e simili,EUR,AXA Paris,2500,34825
Azioni e simili,EUR,Banco Santander Central,14644,139484.1
Azioni e simili,EUR,BASF AG,1655,82981.7
Azioni e simili,EUR,BMW Common Stock,2900,145000
Azioni e simili,EUR,BNP PARIBAS,2132,111482.28
Azioni e simili,EUR,Burani Designer,250000,25000
Azioni e simili,EUR,Cobacrest,113889,113.889
Azioni e simili,EUR,CONSTANTIN MEDIEN AG O.N.,129405,215976.945
Azioni e simili,EUR,Daimlerchrysler,2357,111721.8
Azioni e simili,EUR,Damiani,215000,191350
Azioni e simili,EUR,De Longhi,293933,1162505.015
Azioni e simili,EUR,ENEL,20000,79400
Azioni e simili,EUR,ENI SPA,8454,136785.72
Azioni e simili,EUR,France Telecom SA,5000,81350
Azioni e simili,EUR,Fresenius Medi Common Stock,1495,67850.575
Azioni e simili,EUR,GOLD 2000 EUR,159.65,94872.0125
Azioni e simili,EUR,Heineken NV Common Stock,1787,68290.205
Azioni e simili,EUR,HIGHLIGHT CMNCTS INH.SF 1,55000,213950
Azioni e simili,EUR,Industria de Diseno Textil,2580,150207.6
Azioni e simili,EUR,ISH. DJ ST. 600 BAS.RES.,20000,1118600
Azioni e simili,EUR,ISH. DJ ST.600HEALTH CARE,7000,269220
Azioni e simili,EUR,ISHARES DJ Euro Stoxx 50 EUR,7200,204984
