"currency","date","Scadenza","maturity","rate"
"AUD",2010-09-10,"20Y",240,0.05583
"AUD",2010-09-10,"6Y",72,0.05435
"AUD",2010-09-10,"8Y",96,0.0551
"AUD",2010-09-10,"9Y",108,0.05535
"AUD",2010-09-14,"10M",10,0.0538881944444445
"AUD",2010-09-14,"10Y",120,0.0549
"AUD",2010-09-14,"11M",11,0.0548133680555556
"AUD",2010-09-14,"12Y",144,0.05545
"AUD",2010-09-14,"15Y",180,0.0558
"AUD",2010-09-14,"1M",1,0.0476527777777778
"AUD",2010-09-14,"1W",0.25,0.0467909722222222
"AUD",2010-09-14,"1Y",12,0.0558019097222222
"AUD",2010-09-14,"2M",2,0.0481597222222222
"AUD",2010-09-14,"2W",0.5,0.04699375
"AUD",2010-09-14,"2Y",24,0.05045
"AUD",2010-09-14,"3M",3,0.0491736111111111
"AUD",2010-09-14,"3Y",36,0.05118
"AUD",2010-09-14,"4M",4,0.0497819444444444
"AUD",2010-09-14,"4Y",48,0.0526
"AUD",2010-09-14,"5M",5,0.0502888888888889
"AUD",2010-09-14,"5Y",60,0.0537
"AUD",2010-09-14,"6M",6,0.0511760416666667
"AUD",2010-09-14,"7M",7,0.0516956597222222
"AUD",2010-09-14,"7Y",84,0.05433
"AUD",2010-09-14,"8M",8,0.0524814236111111
"AUD",2010-09-14,"9M",9,0.0532038194444444
"CAD",2010-09-10,"15Y",180,0.03667
"CAD",2010-09-10,"20Y",240,0.03875
"CAD",2010-09-14,"10M",10,0.0173037375
"CAD",2010-09-14,"10Y",120,0.03106
"CAD",2010-09-14,"11M",11,0.0183176263888889
"CAD",2010-09-14,"1M",1,0.0112541666666667
"CAD",2010-09-14,"1W",0.25,0.0108316791666667
"CAD",2010-09-14,"1Y",12,0.0495791666666667
"CAD",2010-09-14,"2M",2,0.0118287375
"CAD",2010-09-14,"2W",0.5,0.0110344569444444
"CAD",2010-09-14,"2Y",24,0.01587
"CAD",2010-09-14,"3M",3,0.0124539013888889
"CAD",2010-09-14,"3Y",36,0.01785
"CAD",2010-09-14,"4M",4,0.0129947097222222
"CAD",2010-09-14,"4Y",48,0.02018
"CAD",2010-09-14,"5M",5,0.0135523486111111
"CAD",2010-09-14,"5Y",60,0.02235
"CAD",2010-09-14,"6M",6,0.0141606819444444
"CAD",2010-09-14,"6Y",72,0.0243
"CAD",2010-09-14,"7M",7,0.0149041666666667
"CAD",2010-09-14,"7Y",84,0.02606
"CAD",2010-09-14,"8M",8,0.0155969569444444
"CAD",2010-09-14,"8Y",96,0.02777
"CAD",2010-09-14,"9M",9,0.0163236111111111
"CAD",2010-09-14,"9Y",108,0.02945
"CHF",2010-09-14,"10M",10,0.00422457083333333
"CHF",2010-09-14,"10Y",120,0.0189
"CHF",2010-09-14,"11M",11,0.00473151527777778
"CHF",2010-09-14,"12Y",144,0.020325
"CHF",2010-09-14,"15Y",180,0.021175
"CHF",2010-09-14,"1M",1,0.00145320694444444
"CHF",2010-09-14,"1W",0.25,0.00118290416666667
"CHF",2010-09-14,"1Y",12,0.00520459583333333
"CHF",2010-09-14,"20Y",240,0.02088
"CHF",2010-09-14,"2M",2,0.00160529027777778
"CHF",2010-09-14,"2W",0.5,0.00130112361111111
"CHF",2010-09-14,"2Y",24,0.00603
"CHF",2010-09-14,"3M",3,0.00174895833333333
"CHF",2010-09-14,"3Y",36,0.00828
"CHF",2010-09-14,"4M",4,0.00197708333333333
"CHF",2010-09-14,"4Y",48,0.01048
"CHF",2010-09-14,"5M",5,0.00221362361111111
"CHF",2010-09-14,"5Y",60,0.0125
"CHF",2010-09-14,"6M",6,0.00250095972222222
"CHF",2010-09-14,"6Y",72,0.01423
"CHF",2010-09-14,"7M",7,0.00283888888888889
"CHF",2010-09-14,"7Y",84,0.01573
"CHF",2010-09-14,"8M",8,0.00325285972222222
"CHF",2010-09-14,"8Y",96,0.01693
"CHF",2010-09-14,"9M",9,0.00374297361111111
"CHF",2010-09-14,"9Y",108,0.018
"EUR",2010-09-14,"10M",10,0.0132128986111111
"EUR",2010-09-14,"10Y",120,0.02625
"EUR",2010-09-14,"11M",11,0.0136779694444444
"EUR",2010-09-14,"12Y",144,0.02797
"EUR",2010-09-14,"15Y",180,0.02945
"EUR",2010-09-14,"1M",1,0.00577288055555555
"EUR",2010-09-14,"1W",0.25,0.0045086625
"EUR",2010-09-14,"1Y",12,0.0127851388888889
"EUR",2010-09-14,"20Y",240,0.03037
"EUR",2010-09-14,"25Y",300,0.03016
"EUR",2010-09-14,"2M",2,0.00677409583333333
"EUR",2010-09-14,"2W",0.5,0.00494270833333333
"EUR",2010-09-14,"2Y",24,0.01373
"EUR",2010-09-14,"30Y",360,0.02927
"EUR",2010-09-14,"3M",3,0.00836083194444445
"EUR",2010-09-14,"3Y",36,0.01598
"EUR",2010-09-14,"4M",4,0.009261875
"EUR",2010-09-14,"4Y",48,0.01737
"EUR",2010-09-14,"5M",5,0.0102022569444444
"EUR",2010-09-14,"5Y",60,0.01926
"EUR",2010-09-14,"6M",6,0.0111939416666667
"EUR",2010-09-14,"6Y",72,0.02113
"EUR",2010-09-14,"7M",7,0.0117427597222222
"EUR",2010-09-14,"7Y",84,0.02268
"EUR",2010-09-14,"8M",8,0.0122243569444444
"EUR",2010-09-14,"8Y",96,0.02412
"EUR",2010-09-14,"9M",9,0.0127471180555556
"EUR",2010-09-14,"9Y",108,0.02525
"GBP",2010-09-14,"10M",10,0.0132906
"GBP",2010-09-14,"10Y",120,0.0315449225000000
"GBP",2010-09-14,"11M",11,0.0139781
"GBP",2010-09-14,"12Y",144,0.0337297256250002
"GBP",2010-09-14,"15Y",180,0.0357947076000003
"GBP",2010-09-14,"1M",1,0.005675
"GBP",2010-09-14,"1W",0.25,0.0055
"GBP",2010-09-14,"1Y",12,0.00838
"GBP",2010-09-14,"20Y",240,0.0371385600000000
"GBP",2010-09-14,"25Y",300,0.037678382225
"GBP",2010-09-14,"2M",2,0.0062031
"GBP",2010-09-14,"2W",0.5,0.0055313
"GBP",2010-09-14,"2Y",24,0.0130925756249998
"GBP",2010-09-14,"30Y",360,0.037902500625
"GBP",2010-09-14,"3M",3,0.0072469
"GBP",2010-09-14,"3Y",36,0.0160892001562500
