"Date","European Monetary Union Government 1 - 3 Years (E)","European Monetary Union Government 3 - 5 Years (E)","European Monetary Union Government 5 - 7 Years (E)","European Monetary Union Government 7 - 10 Years (E)","European Monetary Union Government 10 Years or More (E)","United States Treasury 1 - 3 Years ($)","United States Treasury 3 - 5 Years ($)","United States Treasury 5 - 7 Years ($)","United States Treasury 7 - 10 Years ($)","United States Treasury 10 Years or More ($)","Swiss Government Bond 2 Years (CHF)","Swiss Government Bond 3 Years (CHF)","Swiss Government Bond 5 Years (CHF)","Swiss Government Bond 7 Years (CHF)","Swiss Government Bond 10 Years (CHF)","Swiss Government Bond 1-3 Years (CHF)","Swiss Government Bond 3-5 Years (CHF)","Swiss Government Bond 5-7 Years (CHF)","Swiss Government Bond 7-10 Years (CHF)","Swiss Government Bond 10 Years or More (CHF)","United States Corporate BBB-A ($)","European Monetary Union Corporate Excluding Pfand. BBB (E)","European Monetary Union Financial Corps (E)","IBOXX Liquid Euro Corporates (E)","BARCLAYS US CREDIT BONDINDEX ($)","United States High Yield Master II. ($)","European Currency Highyield (E)","Embi Global Diversified Composite ($)","Embi Global Diversified Latin America ($)","Embi Global Diversified Asia ($)","Embi Global Diversified Europe ($)","ML USD EMRG SOV ($) - TOT RETURN IND","DB X-T II-ITRAXX CROSSOVER","DB X-T II-ITRAXX EU SENIOR FIN","DB X-T II-ITRAXX EUROPE SUBORDINATED","DB X-T II-ITRAXX EU","DB X-T II-ITRAXX HIVOL","All Convertibles ($)","Asia / Pacific Conversion Bond ($)","Convertible: European Monetary Union (E)","United States and Canada Convertible Bond ($)","MSCI Europe Excluding United Kingdom (E)","Dow Jones Euro STOXX 50 (E)","FTSE 100 (£)","Nikkei 225 Stock Average (JPY)","Topix (JPY)","Standard and Poors 500 Composite ($)","MSCI Emerging Markets US Dollar ($)","MSCI Pacific Excluding Japan US Dollar ($)","Swiss Market Index (CHF)","Swiss Performance Index (CHF)","Gold Bullion London Bullion Market U$/Troy Ounce ($)","Rogers International Commodity Indicator TR ($)","Commodity Index Precious Metal TOT. Return ($)","Commodity Index Agriculturl Total Return ($)","Commodity Index Energy Total Return ($)","Cboe SPX Volatility VIX (New) ($)","Vdax-New Volatility Index (E)","Vstoxx Volatility Index (E)","Vstoxx Volatility Index 3M (E)","Vstoxx Volatility Index 6M (E)","Vstoxx Volatility Index 12 M (E)","AUD","CAD","CNY","USD","JPY","CHF","GBP","GLOBAL HEDGE FUND INDEX ($)","ALIAS INV.LYXORACTEDGFD I3 CAP C","US TRESURY 5-7Y TOT RETURN ($)","BUND 3-5Y TOT RETURN (E)","EONIA (E)","US FED FUNDS EFFECTIVE ($)","LYXOR ETF EURO CASH (E)","LYXOR EUROMTS 5-7Y (E)","LYXOR ETF DJ EUROSTOXX 50 (E)","ISHARES BARCLAYS EURO  CORPORATE BONDS (E)"
2003-04-09,-0.0005604897,-0.0022847738,-0.0039347152,-0.0059150783,-0.0065501703,0.0011964975,0.0022746211,0.0029178935,0.0038607052,0.0042157016,-0.0010333418,-0.0007292927,-0.0095858674,-0.0092896857,-0.0115307523,-0.0007983766,-0.0049056510,-0.0059732859,-0.0114832192,-0.0099068901,0.0040281223,0.0008889016,-0.0020185441,-0.0013405949,0.0038185210,0.0074657440,0.0135381383,0.0064808855,0.0063839649,0.0052509151,0.0099624698,,,,,,,-0.0009363122,0.0056039058,0.0062635784,-0.0011051801,0.0450030694,0.0552209718,0.0287764992,-0.0015167568,0.0045263052,-0.0169258713,0.0265687013,0.0115990924,0.0469792374,0.0527776114,-0.0152021891,0.0126092644,-0.0099456099,0.0018776574,0.0200617965,-0.0324768023,-0.0647096636,-0.1292471686,-0.1087514586,-0.0861895161,-0.0597345133,0.0118546174,0.0166255764,0.0091165355,0.0091653028,-0.0031855006,-0.0027315530,-0.0003845489,-0.0010356193,,0.0029178935,-0.0023485868,0.0003528276,0.0001714006,,,0.0573543016,
2003-04-16,-0.0008262910,0.0000813983,0.0015872169,0.0038721863,0.0080183959,-0.0014551638,-0.0026199079,-0.0019595026,-0.0019545897,0.0001571055,-0.0008473364,-0.0005745431,0.0013596889,-0.0028970092,0.0022718197,-0.0003773124,0.0000000000,0.0029093576,0.0010663690,0.0022171673,0.0028046583,0.0039463695,0.0018833641,0.0036915849,0.0030131440,0.0105419112,0.0092327217,0.0110997013,0.0137036297,0.0050461885,0.0137974623,,,,,,,0.0096317123,0.0107111194,0.0014427858,0.0109400752,0.0109173869,0.0067689689,-0.0016884980,-0.0221058105,-0.0152402112,0.0160740886,0.0380931888,0.0189394019,0.0187578251,0.0182369188,0.0057116394,-0.0011642799,0.0005381528,-0.0067840714,0.0109370605,-0.1693102176,-0.1605956472,-0.1644988523,-0.1217596229,-0.0951461666,-0.0644117647,0.0017617067,-0.0030596392,-0.0145831389,-0.0146069487,-0.0129689948,-0.0088358748,-0.0009455872,0.0020235449,,-0.0019595026,-0.0001374666,0.0003558840,0.0001786239,,,0.0069991251,
2003-04-23,0.0018330766,0.0026994910,0.0029319200,0.0023484772,-0.0002908574,0.0001767101,-0.0012301971,-0.0020587536,-0.0026333914,-0.0002438405,0.0018833429,-0.0031177817,0.0025988816,0.0036773994,0.0004205736,-0.0001609734,0.0005009995,-0.0008071293,0.0024930986,0.0017486146,0.0041409785,0.0060425332,0.0034353116,0.0054334197,0.0031223635,0.0138485908,0.0052185941,0.0071975334,0.0128154574,-0.0004432825,0.0045977907,,,,,,,0.0221952632,0.0018915774,0.0037612748,0.0201992680,0.0242615612,0.0309457722,0.0289371968,-0.0109283723,0.0004943216,0.0444477276,-0.0005436851,0.0062461337,0.0066276033,0.0121843354,0.0274750576,-0.0098690601,0.0186011071,0.0120077973,-0.0285610333,-0.0763765542,-0.0365720524,-0.0183150183,-0.0614192010,-0.0134105456,-0.0238918579,0.0012332846,-0.0106577211,-0.0084072010,-0.0084072010,-0.0092717826,-0.0042313155,-0.0047578223,0.0075903782,,-0.0020587536,0.0028667364,0.0003628304,0.0001752901,,,0.0325803649,
2003-04-30,0.0023154632,0.0041452123,0.0052425539,0.0056020840,0.0044994528,0.0029473245,0.0077962620,0.0082899400,0.0101045868,0.0159028273,-0.0013026702,0.0059121797,0.0020581825,-0.0000186459,0.0028808242,0.0007439278,0.0029494094,0.0007697681,0.0012434493,-0.0015780588,0.0125245392,0.0071621047,0.0049605203,0.0061523113,0.0145020947,0.0156111348,0.0260930300,0.0178420015,0.0201648738,0.0156982532,0.0160712554,,,,,,,0.0054890220,0.0005658062,0.0077865491,0.0045714744,-0.0087411223,-0.0176392844,-0.0102055995,0.0048810657,0.0091340977,-0.0022850428,0.0035290758,0.0161321496,-0.0096361377,-0.0080087569,0.0106065133,-0.0160835515,0.0210996458,-0.0227444333,-0.0325402071,0.0197115385,-0.0147308782,-0.0111940299,-0.0314485388,-0.0392338585,-0.0193236715,-0.0073848567,-0.0061844571,-0.0194325978,-0.0194444444,-0.0098658161,-0.0042983566,-0.0092157947,0.0053709829,,0.0082899400,0.0037259782,0.0003592183,0.0001775126,,,-0.0164072360,
2003-05-07,0.0029017651,0.0054322784,0.0072339339,0.0092172263,0.0122136659,0.0012605710,0.0072239654,0.0096191688,0.0117956990,0.0150370464,0.0009686456,0.0041524207,0.0116988243,0.0098685437,0.0076998429,0.0029013808,0.0093015128,0.0115091518,0.0084991465,0.0074127054,0.0135719639,0.0086671830,0.0072202640,0.0084283589,0.0120246692,0.0087472556,0.0094077965,0.0143666498,0.0164269684,0.0152061270,0.0112554396,,,,,,,0.0112310822,0.0046488925,0.0079756255,0.0060217741,0.0160208463,0.0141573464,0.0170480162,0.0355427241,0.0330044190,0.0138507176,0.0238001667,0.0064487540,0.0193277126,0.0191326333,0.0075388027,0.0180101645,0.0094160741,0.0154685504,0.0172158586,-0.0099009901,-0.0103507763,-0.0364779874,-0.0403410954,-0.0347266881,-0.0302134647,-0.0015747963,0.0055451087,-0.0171060226,-0.0171297723,0.0076690595,0.0044583429,-0.0212500480,0.0061181000,,0.0096191688,0.0056885439,0.0003539390,0.0001769570,,,0.0192472198,
2003-05-14,0.0018024268,0.0040253959,0.0055121587,0.0059128631,0.0053152907,0.0008625525,0.0048162265,0.0073250791,0.0114887018,0.0209090192,0.0024247689,0.0030500036,0.0006368329,0.0094166740,0.0102507740,0.0018364660,0.0021914095,0.0037833448,0.0097798635,0.0087035787,0.0076104790,0.0030154753,0.0044184061,0.0031137332,0.0097075486,0.0010117461,-0.0027175281,0.0145090208,0.0177286585,0.0072105046,0.0147701168,,,,,,,0.0117341728,-0.0008768915,0.0028713156,0.0083641649,-0.0166802527,-0.0200276606,-0.0044779484,0.0166638511,0.0111198882,0.0103913427,0.0092921364,0.0146484355,-0.0181189936,-0.0159801772,0.0379988263,0.0604624090,0.0302687472,0.0480745342,0.1008305536,-0.0476190476,0.0630447414,0.0192558747,0.0266575530,0.0083277815,-0.0084659668,0.0057410002,0.0043729832,-0.0121367670,-0.0121367670,-0.0116269679,-0.0023265431,0.0057702131,0.0072716980,,0.0073250791,0.0041584042,0.0003544947,0.0001747344,,,-0.0214015946,
2003-05-21,0.0021602043,0.0047753401,0.0078012242,0.0118264258,0.0261513079,0.0007625014,0.0034935620,0.0056343968,0.0094587501,0.0188650922,0.0024243887,0.0028612597,0.0065700381,0.0084462472,0.0089418067,0.0017502788,0.0057701040,0.0084173116,0.0089800443,0.0160274234,0.0052086120,0.0035144370,0.0069163742,0.0044927299,0.0059216911,-0.0030987304,-0.0028157642,-0.0024692670,-0.0129044676,0.0055554345,0.0071261179,,,,,,,-0.0011711700,0.0036411078,0.0027272361,-0.0026207854,-0.0300466780,-0.0348495107,-0.0097207058,-0.0274593658,-0.0266826923,-0.0168852738,-0.0155541494,-0.0008024935,-0.0211146791,-0.0183940922,0.0432508834,0.0037630096,0.0486480887,-0.0074522935,-0.0008134545,0.0605000000,0.0737906532,0.1591418508,-0.0146471372,0.0852329039,0.0218579235,-0.0031199350,0.0037449347,-0.0173968797,-0.0173968797,-0.0263159313,0.0001462069,-0.0032375469,0.0040408151,,0.0056343968,0.0055057452,0.0003614411,0.0001761235,,,-0.0308747856,
2003-05-28,0.0001210650,-0.0006083598,-0.0013393868,-0.0026564082,-0.0068360603,0.0005098479,0.0020188324,0.0010962855,-0.0013469824,-0.0069171265,-0.0001696251,-0.0033746299,-0.0052863771,-0.0051740400,-0.0074620774,-0.0016369860,-0.0045935269,-0.0059310441,-0.0071376772,-0.0021466110,0.0017618532,0.0029404014,-0.0001804205,0.0004066032,-0.0000226127,-0.0006553031,0.0046859502,0.0074243144,0.0066422103,0.0082069503,0.0100041156,,,,,,,0.0178419079,0.0089397556,0.0063278435,0.0129675614,0.0349695475,0.0358396219,0.0344174089,0.0268965182,0.0154482588,0.0322713392,0.0421108724,0.0208181299,0.0481283422,0.0454591125,-0.0197805175,-0.0162943178,-0.0182561792,-0.0297195229,-0.0222559176,-0.0556341348,-0.1211504200,-0.1494475138,-0.0027027027,-0.0998477930,-0.0391042781,-0.0158824132,-0.0295036235,-0.0036745731,-0.0036625357,-0.0143315793,-0.0100269494,-0.0098451316,0.0057424672,,0.0010962855,-0.0013178585,0.0003483818,0.0001744566,,,0.0398230088,
2003-06-04,0.0026896800,0.0052605976,0.0069262068,0.0087362260,0.0092456828,0.0024453390,0.0064488250,0.0074583372,0.0102741136,0.0117995137,0.0008756328,0.0040376160,0.0035127127,0.0049046644,0.0109072022,0.0017059194,0.0019918256,0.0051220809,0.0085347121,0.0046709948,0.0081358214,0.0065135318,0.0065543132,0.0061778573,0.0092864788,0.0119838269,0.0110004130,0.0155005615,0.0186530421,0.0137144675,0.0159128191,,,,,,,0.0175678406,0.0057040121,0.0031415336,0.0121962819,0.0299926781,0.0370054743,0.0134312083,0.0393093180,0.0348165534,0.0346404817,0.0222180320,0.0319229947,0.0179428914,0.0181011647,0.0029025570,0.0216847507,-0.0087142023,-0.0225069998,0.0460558499,0.0294558163,-0.0602374747,-0.0448197467,-0.0376016260,-0.0341562394,-0.0493913043,0.0309834792,0.0253682556,0.0053949904,0.0053949904,0.0039981969,-0.0060790651,0.0046564308,0.0069283843,,0.0074583372,0.0051637471,0.0003483818,0.0001741788,,,0.0319148936,
2003-06-11,0.0036512148,0.0080756904,0.0110953583,0.0121825573,0.0121953378,0.0012532354,0.0030588036,0.0041815822,0.0069840678,0.0131443334,0.0002405883,0.0007817929,0.0031479938,0.0055792687,0.0044057202,0.0016093208,0.0044628579,0.0041909553,0.0055304636,0.0143445158,0.0084065254,0.0088139925,0.0096554020,0.0114719664,0.0087379946,0.0119323864,0.0215223045,0.0102368187,0.0114773583,0.0103025036,0.0098218693,,,,,,,0.0059604272,0.0075175711,0.0061192331,0.0034768346,0.0212499011,0.0240559514,0.0057190631,0.0388461601,0.0279220627,0.0113968202,0.0172048860,0.0136821516,0.0193324208,0.0202277950,-0.0190187431,0.0332885162,-0.0185764171,0.0378665072,0.0468140572,-0.0198836081,-0.0659476117,-0.0839850391,-0.0784934882,-0.0766806723,-0.0475667764,-0.0089512502,-0.0023040862,-0.0066351920,-0.0066351920,0.0021829036,-0.0008960550,0.0149378667,0.0042885325,,0.0041815822,0.0082605474,0.0002972576,0.0001727897,,,0.0263917526,
